Yoga                                          , 7 days      , 600 - 1200 ,                 92,         102,           90.20,          10, ['Standard Tournament'], https://www.chess.com/tournament/yoga-4
Fourth Tourney                                , 14 days     , Open       ,                 31,          35,           88.57,           4, ['Standard Tournament'], https://www.chess.com/tournament/fourth-tourney
Become a GM!!!!!!!!!!                         , 3 days      , 600 - 1800 ,                211,         250,           84.40,          39, ['Standard Tournament'], https://www.chess.com/tournament/become-a-gm
los primos de francia han venido              , 14 days     , Open       ,                 10,          12,           83.33,           2, ['Standard Tournament'], https://www.chess.com/tournament/los-primos-de-francia-han-venido
Busero #2                                     , 1 day       , Open       ,                 10,          12,           83.33,           2, ['Standard Tournament'], https://www.chess.com/tournament/busero-2
I                                             , 3 days      , Open       ,                  4,           5,           80.00,           1, ['Standard Tournament'], https://www.chess.com/tournament/i-4906
Easy 960                                      , 3 days      , < 720      ,                 18,          24,           75.00,           6, ['Standard Tournament'], https://www.chess.com/tournament/easy-960-1
1st Worm's Tournament                         , 5 days      , < 700      ,                 15,          24,           62.50,           9, ['Standard Tournament'], https://www.chess.com/tournament/1st-worms-tournament
Kayla's Daily Kings & Queens Clash            , 3 days      , Open       ,                144,         250,           57.60,         106, ['Standard Tournament'], https://www.chess.com/tournament/kaylas-daily-kings-queens-clash
DAILY ARENA                                   , 1 day       , < 1000     ,                 51,          90,           56.67,          39, ['Standard Tournament'], https://www.chess.com/tournament/daily-arena-41
Nine players tournament                       , 3 days      , 600 - 1000 ,                  5,           9,           55.56,           4, ['Standard Tournament'], https://www.chess.com/tournament/nine-players-tournament
Getting Better #11                            , 2 days      , 1400 - 1900,                 25,          48,           52.08,          23, ['Standard Tournament'], https://www.chess.com/tournament/getting-better-11
quick one 27.3. 2025                          , 14 days     , 800 - 1300 ,                126,         250,           50.40,         124, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-27-3-2025
Dintys Tournament                             , 3 days      , 600 - 1000 ,                 25,          50,           50.00,          25, ['Standard Tournament'], https://www.chess.com/tournament/dintys-tournament
July 2025 - Daily Tournament Club             , 1 day       , Open       ,                  9,          18,           50.00,           9, ['Standard Tournament'], https://www.chess.com/tournament/july-2025-daily-tournament-club
bird opening                                  , 1 day       , Open       ,                  6,          12,           50.00,           6, ['Standard Tournament'], https://www.chess.com/tournament/bird-opening-27
Bullet Go                                     , 14 days     , 690 - 1590 ,                  5,          10,           50.00,           5, ['Standard Tournament'], https://www.chess.com/tournament/bullet-go-1
Chess Viking I                                , 2 days      , 950 - 1000 ,                  4,           8,           50.00,           4, ['Standard Tournament'], https://www.chess.com/tournament/chess-viking-i
Chess Viking I                                , 2 days      , 950 - 1000 ,                  4,           8,           50.00,           4, ['Standard Tournament'], https://www.chess.com/tournament/chess-viking-i
RD #1                                         , 3 days      , 1500 - 1800,                  2,           4,           50.00,           2, ['Standard Tournament'], https://www.chess.com/tournament/rd-1-16
Gator Quad 1500+ 2025 #3                      , 3 days      , > 1500     ,                  2,           4,           50.00,           2, ['Standard Tournament'], https://www.chess.com/tournament/gator-quad-1500-2025-3
Daily but Arena                               , 1 day       , Open       ,                  5,          11,           45.45,           6, ['Standard Tournament'], https://www.chess.com/tournament/daily-but-arena
turnament                                     , 3 days      , 1200 - 1500,                  9,          20,           45.00,          11, ['Standard Tournament'], https://www.chess.com/tournament/turnament-5
Harry Potter                                  , 3 days      , Open       ,                  9,          20,           45.00,          11, ['Standard Tournament'], https://www.chess.com/tournament/harry-potter-22
Chess For Two - Ratings over 1900             , 3 days      , > 1900     ,                  5,          12,           41.67,           7, ['Standard Tournament'], https://www.chess.com/tournament/chess-for-two-ratings-over-1900
Super Fast                                    , 1 day       , 1390 - 1790,                 20,          50,           40.00,          30, ['Standard Tournament'], https://www.chess.com/tournament/super-fast-166
3er Torneo Cristiano Julio 2025 - 14 dias     , 14 days     , > 1200     ,                  6,          15,           40.00,           9, ['Standard Tournament'], https://www.chess.com/tournament/3er-torneo-cristiano-julio-2025-14-dias
Tournament 47r                                , 3 days      , < 1450     ,                  4,          10,           40.00,           6, ['Standard Tournament'], https://www.chess.com/tournament/tournament-47r
Tournament 47r                                , 3 days      , < 1450     ,                  4,          10,           40.00,           6, ['Standard Tournament'], https://www.chess.com/tournament/tournament-47r
Weekly Demons                                 , 7 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/weekly-demons
","                                           , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/tournament-c9ae00bf9fde841ecc7acbceb9af8e38
Skilled                                       , 3 days      , 601 - 1000 ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/skilled
Skilled                                       , 3 days      , 601 - 1000 ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/skilled
Sigma tournament bro                          , 2 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/sigma-tournament-bro
Play with pros                                , 3 days      , 1800 - 2200,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/play-with-pros
Pink Dragon                                   , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/pink-dragon
Pink Dragon                                   , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/pink-dragon
Palabra                                       , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/palabra
Palabra                                       , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/palabra
only for the achiviement 5                    , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/only-for-the-achiviement-5
only for the achiviement 3                    , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/only-for-the-achiviement-3
only for the achiviement 2                    , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/only-for-the-achiviement-2
Miffy                                         , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/miffy
Miffy                                         , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/miffy
L                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/l-6199
L                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/l-6199
K                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/k-10731
K                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/k-10731
I                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/i-4905
I                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/i-4905
Gfcbdthcrdxhgfrdth                            , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/gfcbdthcrdxhgfrdth
Gfcbdthcrdxhgfrdth                            , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/gfcbdthcrdxhgfrdth
Fddd                                          , 3 days      , 600 - 1200 ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/fddd-2
Fddd                                          , 3 days      , 600 - 1200 ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/fddd-2
Fddd                                          , 3 days      , 600 - 1200 ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/fddd-2
Chasing 1100                                  , 3 days      , 1000 - 1099,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/chasing-1100
Chasing 1100                                  , 3 days      , 1000 - 1099,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/chasing-1100
Blabla                                        , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/blabla-6
Ash Ketchum tournament                        , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/ash-ketchum-tournament
Ash Ketchum tournament                        , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/ash-ketchum-tournament
A                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/a-11134
A                                             , 3 days      , Open       ,                  2,           5,           40.00,           3, ['Standard Tournament'], https://www.chess.com/tournament/a-11134
Beginner's Daily <600 VACATION                , 3 days      , < 600      ,                 19,          48,           39.58,          29, ['Standard Tournament'], https://www.chess.com/tournament/beginners-daily-600-vacation
TORNEO UNIVERSAL LENTO 2026                   , 14 days     , Open       ,                  9,          24,           37.50,          15, ['Standard Tournament'], https://www.chess.com/tournament/torneo-universal-lento-2026
TORNEO UNIVERSAL LENTO 2026                   , 14 days     , Open       ,                  9,          24,           37.50,          15, ['Standard Tournament'], https://www.chess.com/tournament/torneo-universal-lento-2026
Quick one?                                    , 3 days      , 1000 - 1600,                  6,          16,           37.50,          10, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-68
Quick one?                                    , 3 days      , 1000 - 1600,                  6,          16,           37.50,          10, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-68
Bitcoin!                                      , 1 day       , Open       ,                 32,         100,           32.00,          68, ['Standard Tournament'], https://www.chess.com/tournament/bitcoin-8
U900 - Low ELO Comp                           , 3 days      , < 900      ,                 20,          64,           31.25,          44, ['Standard Tournament'], https://www.chess.com/tournament/u900-low-elo-comp-2
simple tournament                             , 3 days      , 1400 - 2100,                  6,          20,           30.00,          14, ['Standard Tournament'], https://www.chess.com/tournament/simple-tournament-18
ROOSTERS                                      , 3 days      , Open       ,                  3,          10,           30.00,           7, ['Standard Tournament'], https://www.chess.com/tournament/roosters
Orcrist the Goblin-Cleaver                    , 5 days      , 1100 - 1475,                  3,          10,           30.00,           7, ['Standard Tournament'], https://www.chess.com/tournament/orcrist-the-goblin-cleaver-1
Orcrist the Goblin-Cleaver                    , 5 days      , 1100 - 1475,                  3,          10,           30.00,           7, ['Standard Tournament'], https://www.chess.com/tournament/orcrist-the-goblin-cleaver-1
Blitz                                         , 3 days      , Open       ,                 10,          35,           28.57,          25, ['Standard Tournament'], https://www.chess.com/tournament/blitz-146
ChessChess                                    , 1 day       , 700 - 900  ,                 15,          54,           27.78,          39, ['Standard Tournament'], https://www.chess.com/tournament/chesschess
como-exclusive                                , 1 day       , 600 - 2500 ,                  3,          11,           27.27,           8, ['Standard Tournament'], https://www.chess.com/tournament/como-exclusive
