EAN;Produto;Preço (R$);Link
7898944073012;Shampoo Haskell Queratina frasco com 300mL;39.19;https://www.drogaven.com.br/shampoo-haskell-queratina-frasco-com-300ml/p
7891317118242;Versa 20mg/0,2mL, caixa com 6 seringas preenchidas com 0,2mL de solução de uso subcutâneo ou intravenoso + sistema de segurança;230.93;https://www.drogaven.com.br/versa-20mg-seringas-trava-seguranca-6seringas/p
7896422515344;Furoato de Mometasona Medley 1mg/g, bisnaga com 20g de creme de uso dermatológico;41.26;https://www.drogaven.com.br/furoato-de-mometasona-medley-1mgg-bisnaga-com-20g-de-creme-de-uso-dermatologico/p
7891106913522;Creme Hidratante Bepantol Derma Toque Seco 30g;37.23;https://www.drogaven.com.br/creme-hidratante-bepantol-derma-toque-seco-30g/p
7899898400190;Órtese para Punho Mova Ortho curta, com tala, M, bilateral, preta com 1 unidade;47.41;https://www.drogaven.com.br/ortese-para-punho-mova-ortho-curta-com-tala-m-bilateral-preta-com-1-unidade/p
7896112402275;Gel Hidratante Intravaginal Biolab Provagin 30g + 10 aplicadores de 3g;99.39;https://www.drogaven.com.br/gel-hidratante-intravaginal-biolab-provagin-30g-10-aplicadores-de-3g/p
7896523223674;Lubrificante Íntimo K-Med Fire & Ice frasco, 2 unidades com 40g cada;35.27;https://www.drogaven.com.br/lubrificante-intimo-k-med-fire-ice-frasco-2-unidades-com-40g-cada/p
7897799833291;Talco Primeiro Baby 100g;11.06;https://www.drogaven.com.br/talco-primeiro-baby-100g/p
7896004711416;Clotrimazol Creme Vaginal Germed Pharma 10mg/g, bisnaga com 35g de creme de uso vaginal + 6 aplicadores;56.45;https://www.drogaven.com.br/clotrimazol-creme-vaginal-germed-pharma-10mgg-bisnaga-com-35g-de-creme-de-uso-vaginal-6-aplicadores/p
7897655400223;Pyr-Pam 10mg/mL, frasco com 40mL de suspensão de uso oral;33.41;https://www.drogaven.com.br/pyrpan-40ml/p
7896004738376;Fluiteína 600mg/g, 16 envelopes com 5g de granulado de uso oral;73.23;https://www.drogaven.com.br/fluiteina-600mgg-16-envelopes-com-5g-de-granulado-de-uso-oral/p
;MEIA MEDI ASSURE MEIA CALÇA P 20-30MMHG S/PONT;208.75;https://www.drogaven.com.br/meia-medi-assure-meia-calca-p-20-30mmhg-spont/p
7896658018879;Esalerg 0,5mg/mL, frasco com 60mL de xarope + 1 seringa dosadora;43.3;https://www.drogaven.com.br/esalerg-05mgml-frasco-com-60ml-de-xarope-1-seringa-dosadora/p
7896004709703;Genfibrozila Germed Pharma 900mg, caixa com 12 comprimidos revestidos;86.04;https://www.drogaven.com.br/genfibrozila-900mg-12cpr-germed-gen/p
7896004785639;XAKILIS 2,5MG 20CPR PBM;43.43;https://www.drogaven.com.br/xakilis-25mg-20cpr-pbm/p
7896261005587;Foraseq 12mcg + 400mcg, 120 cápsulas com pó de uso inalatório + 1 inalador (60 doses);161.51;https://www.drogaven.com.br/foraseq-12mcg-400mcg-120-capsulas-com-po-de-uso-inalatorio-1-inalador-60-doses/p
7896658027604;Divena 40mg, 30 comprimidos revestidos de liberação retardada;64.56;https://www.drogaven.com.br/divena-40mg-30-comprimidos-revestidos-de-liberacao-retardada/p
768455064779;Placa Sur-Fit Plus com Micropore 45mm;75.38;https://www.drogaven.com.br/placa-surfit-plus-com-micropore-45mm/p
7899095244771;ACU FRESH 5MG/ML 10ML;24.84;https://www.drogaven.com.br/acu-fresh-5mgml-10ml/p
7898430190995;PURAVIT ADE GTS 20ML;60.87;https://www.drogaven.com.br/puravit-ade-gts-20ml/p
7892840822255;Salgadinho Cebolitos 36g;3.9;https://www.drogaven.com.br/elma-c-cebolitos-36g/p
7896112405986;Cronocor 3,125mg, 30 comprimidos;22.58;https://www.drogaven.com.br/cronocor-3125mg-30-comprimidos/p
7896094921207;Estomazil 462mg/g + 90mg/g + 438mg/g, 6 envelopes 5g de pó efervescente, abacaxi;13.1;https://www.drogaven.com.br/estomazil-462mgg-90mgg-438mgg-6-envelopes-5g-de-po-efervescente-abacaxi/p
7898728324620;Protetor Solar Corporal Spray FPS 60 Abelha Rainha 120ml;58.79;https://www.drogaven.com.br/protetor-solar-abelha-rainha-corporal-spray-fps60-120ml/p
7894222042183;ESMALTE DAILUS  TRAGO CONFETES TE LEVO ATE AS ESTRELAS;10.48;https://www.drogaven.com.br/esmalte-dailus-trago-confetes-te-levo-ate-as-estrelas/p
7908321628275;MEIA SELECTA ALGODAO BEGE LONGA 3/4 N.6;350.74;https://www.drogaven.com.br/meia-selecta-algodao-bege-longa-34-n6/p
8902220108578;Rosucor 10mg, 100 comprimidos revestidos;114.61;https://www.drogaven.com.br/rosucor-10mg-100-comprimidos-revestidos/p
7898415012137;Almofada Ortopédica Pró-coluna Ortho Pahuer preto, 1 unidade;201.78;https://www.drogaven.com.br/almofada-ortopedica-pro-coluna-ortho-pahuer-preto-1-unidade/p
7896342452613;Órtese de Punho com Tala para Polegar Mercur G, direito, preto;88.69;https://www.drogaven.com.br/ortese-de-punho-com-tala-para-polegar-mercur-g-direito-preto/p
7896004734392;Drospirenona + Etinilestradiol EMS 3mg + 0,03mg, caixa com 21 comprimidos revestidos;60.78;https://www.drogaven.com.br/drospirenona-etinilestradiol-3mg003mg-21cpr-ems-gener/p
7896311773138;Bebida Integralmedica My Whey morango com 250mL;11.75;https://www.drogaven.com.br/bebida-integralmedica-my-whey-morango-com-250ml/p
7898572402758;REHYDRON 4X26GRAMAS SACHE REHIDRATANTE GUARANA;19.5;https://www.drogaven.com.br/rehydron-4x26gramas-sache-rehidratante-guarana/p
7898946618273;Capa para Colchão Solteiro com Zíper Branco Magic Bag;72.76;https://www.drogaven.com.br/capa-para-colchao-solteiro-branca-em-pvc-20c-magic-bag-10042/p
7896004709697;Genfibrozila EMS 900mg, caixa com 12 comprimidos revestidos;84.41;https://www.drogaven.com.br/genfibrozila-900mg-12cpr-ems-generico/p
3282770207651;Protetor Solar Facial Darrow Actine Colors FPS 70, pele morena com 40g;79.28;https://www.drogaven.com.br/protetor-solar-facial-darrow-actine-colors-fps-70-pele-morena-com-40g/p
7898037084956;Natucolic frasco com 30mL de solução de uso oral;47.13;https://www.drogaven.com.br/natucolic-frasco-com-30ml-de-solucao-de-uso-oral/p
7891142177209;Predsim Comprimido 40mg, 10 comprimidos;82.83;https://www.drogaven.com.br/predsim-comprimido-40mg-10-comprimidos/p
3337875598071;EFFACLAR DUO+ CREME ANTI-IMPERFEICOES 40ML;166.5;https://www.drogaven.com.br/effaclar-duo-creme-anti-imperfeicoes-40ml/p
7891721025105;Concor 5mg, 30 comprimidos revestidos;95.32;https://www.drogaven.com.br/concor-5mg-30-comprimidos-revestidos/p
7898921898171;Repelente Eletrônico Ultrassônico Zen Branco Bivolt;39.1;https://www.drogaven.com.br/repelente-eletronico-ultrassonico-zen-branco-bivolt/p
7898495112710;TAPETE YOGA LIVE UP ROXO 1,73X61 0,4CM LS3231P;70.46;https://www.drogaven.com.br/tapete-yoga-live-up-roxo-173x61-04cm-ls3231p/p
7891033925858;Shampoo Siàge Revela os Cachos Eudora 250mL;45.67;https://www.drogaven.com.br/shampoo-siage-revela-os-cachos-eudora-250ml/p
7897595620453;Rabeprazol Sódico Sandoz 20mg, 28 comprimidos revestidos de liberação retardada;278.66;https://www.drogaven.com.br/rabeprazol-sodico-sandoz-20mg-28-comprimidos-revestidos-de-liberacao-retardada/p
7896094918689;ADDERA CAL 2.000UI 60CPR REV;153.22;https://www.drogaven.com.br/addera-cal-2000ui-60cpr-rev/p
7898621210419;ALMOFADA PERFETTO CONFORT SEAT LATEX COD.205302;159.46;https://www.drogaven.com.br/almofada-perfetto-confort-seat-latex-cod205302/p
