EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação
7500435127240;C;ABSORVENTE ALWAYS BASICO SUAVE C/ABAS C/8;DrogaRaia;5.25;5.02;DROGACENTRO;5.02;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE
7896007550463;B;ABSORVENTE INTIMUS DAYS PROT DIARIO ANTIBACTERIANA C/15UN;Drogal;5.55;6.18;Drogal;5.55;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE
7896007550906;B;ABSORVENTE INTIMUS GEL NOTURNO SECA C/ABAS C/30 UNIDADES;Drogaven;24.4;24.33;DROGACENTRO;24.33;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE
3282770391466;C;ACTINE CONTROL GEL LIMPEZA 400G;Drogal;91.89;108.47;Drogal;91.89;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7898632473070;D;AMOLECEDOR CRAVOS E ESPINHAS LABOTRAT 50G;Drogaven;32.33;37.23;Drogaven;32.33;PRINCIPAL > PERFUMARIA > BELEZA > ROSTO > classificar
7891010256784;C;ANTISSEPTICO BUCAL LISTERINE ANTITARTARO 250ML;Drogaven;21.76;24.7;Drogaven;21.76;PRINCIPAL > PERFUMARIA > HIGIENE > ORAL > ANTISSEPTICO BUCAL
7891010987787;C;ANTISSEPTICO BUCAL LISTERINE ZERO ANTICARIES 500ML;Drogaven;32.9;31.57;DROGACENTRO;31.57;PRINCIPAL > PERFUMARIA > HIGIENE > ORAL > ANTISSEPTICO BUCAL
7894222036182;D;BATOM DAILUS LIQUIDO MATTE 12 HORAS SISSONE;Drogaven;24.49;40.69;Drogaven;24.49;PRINCIPAL > PERFUMARIA > BELEZA > MAQUIAGEM > BATOM
7898949409762;C;CICATRICURE GEL 60G;Drogal;47.89;46.15;DROGACENTRO;46.15;PRINCIPAL > PERFUMARIA > BELEZA > ROSTO > CREME
7899026420571;C;CONDICIONADOR ELSEVE REPARACAO TOTAL 5+ 200ML;Drogaven;18.52;18.56;Drogaven;18.52;PRINCIPAL > PERFUMARIA > CABELO > CONDICIONADOR
7898623952393;C;CONDICIONADOR SALON LINE MEU LISO AMIDO DE MILHO 300ML;Drogal;16.65;22.86;Drogal;16.65;PRINCIPAL > PERFUMARIA > CABELO > CONDICIONADOR
7891150083615;C;CONDICIONADOR SEDA MOANA JUNTINHOS 300ML;Drogal;14.89;18.74;Drogal;14.89;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > CONDICIONADOR
7891033070664;C;CONDICIONADOR SIAGE CICA THERAPY 200ML;Drogal;41.99;49.8;Drogal;41.99;PRINCIPAL > PERFUMARIA > CABELO > CONDICIONADOR
7896015591007;B;COREGA ULTRA CREME BG 8,5G;Drogaven;14.83;16.12;Drogaven;14.83;PRINCIPAL > PERFUMARIA > HIGIENE > ORAL > CREME FIXADOR
7891528038827;C;CREME DENTAL TANDY TUTI FRUTI 50G;Drogaven;8.72;9.98;Drogaven;8.72;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > CREME DENTAL/FIO
7899706197502;C;CREME PENTEAR NOTURNO CACHOS LONGOS DOS SONHOS 250ML;DrogaRaia;23.27;18.4;DROGACENTRO;18.4;PRINCIPAL > PERFUMARIA > CABELO > CREME
7896331705140;C;DENTAL FRESH PERIOTRAT SEM ALCOOL 250ML;Drogaven;25.33;20.46;DROGACENTRO;20.46;PRINCIPAL > PERFUMARIA > HIGIENE > ORAL > ANTISSEPTICO BUCAL
7897930763005;D;DERMOTIVIN SALIX LIQUIDO 300ML;Drogal;90.49;104.02;Drogal;90.49;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7791293033266;C;DESODORANTE DOVE AEROSOL FEM GO FRESH ROMA 89G/150ML;Drogal;14.89;23.03;Drogal;14.89;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO
7791293012087;C;DESODORANTE DOVE AEROSOL MEN CARE PROTECAO TOTAL 89G/150ML;Drogal;14.89;23.28;Drogal;14.89;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC
7896235354215;C;DESODORANTE MONANGE AEROSOL CLINICAL CONFORTO 94G;DrogaRaia;20.15;12.27;DROGACENTRO;12.27;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO
