EAN;Produto;Preço (R$);Link
7896380606337;Tonalizante Keraton Neon Colors - Uranium Blue;32.9;https://www.drogaraia.com.br/tonalizante-keraton-neon-colors-uranium-blue.html
791570;SKINCEUTICALS H.A. INTENSIFIER 30ML;973.26;https://www.drogaraia.com.br/skinceuticals-h-a-intensifier-30ml-791570.html
7896094906594;Laxante Fitoterápico Tamarine 12mg 20 cápsulas;75.98;https://www.drogaraia.com.br/tamarine-12-mg-com-20-capsulas.html
7891548803450;KIT COM 5 EQUINáCEA 500MG 60 CáPSULAS;359.6;https://www.drogaraia.com.br/kit-com-5-equinacea-500mg-60-capsulas-818208.html
6015102532506;KIT EUDORA SIàGE NUTRI ROSE SHAMPOO CONDICIONADOR MáSCARA;139.9;https://www.drogaraia.com.br/kit-eudora-siage-nutri-rose-shampoo-condicionador-mascara-966017.html
7797942167443;KIT SOUL POWER COCO E CACAU CONDICIONADOR + CREME + MáSCARA;105.53;https://www.drogaraia.com.br/kit-soul-power-coco-e-cacau-condicionador-creme-mascara-1015039.html
3439600056655;Angel Standing Star Mugler Eau de Parfum 100ml - Perfume Feminino;1299.0;https://www.drogaraia.com.br/angel-standing-star-edp-100ml-817050.html
7898000174318;VITAMINA C EM GOTAS 30ML CELLIV;29.9;https://www.drogaraia.com.br/vitamina-c-em-gotas-30ml-celliv-865491.html
7898656390254;Fralda Calça MamyPoko Super Seca Jumbo M 34 Unidades;169.99;https://www.drogaraia.com.br/fralda-calca-mamypoko-jumbo-m-34-unid-971525.html
7898130551034;DELINEADOR LíQUIDO CUSHION MODELO 1085 VIVAI;21.41;https://www.drogaraia.com.br/delineador-liquido-cushion-modelo-1085-vivai-869333.html
884486456380;Redken Acidic Perfecting Concentrate - Leave - In 150ml;179.9;https://www.drogaraia.com.br/redken-acidic-bonding-concentrate-leave-in-150ml-679007.html
7898494593992;Assento Massageador Neck & Back Shiatsu Seat Plus Relaxmedic;1290.9;https://www.drogaraia.com.br/assento-massageador-neck-amp-back-shiatsu-seat-plus-unica-842502.html
7898352914921;LEAVE-IN TUTANO VEGANO AVOCADO 200ML – BOTHâNICO;57.3;https://www.drogaraia.com.br/leave-in-tutano-vegano-avocado-200ml-bothanico-916333.html
7909463501761;KIT 2X: GRANOLA DE AVEIA SEM GLúTEN ESTAR BEM 250G;115.88;https://www.drogaraia.com.br/kit-2x-granola-de-aveia-sem-gluten-estar-bem-250g-870491.html
7898629561230;L-CARNITINE 2000MG (400ML) - SABOR: LARANJA;83.0;https://www.drogaraia.com.br/l-carnitine-2000mg-400ml-sabor-laranja-1012936.html
7898661010680;SACHE ONE VEGAN PURAVIDA ACAI COM BANANA 45G;18.99;https://www.drogaraia.com.br/sache-one-vegan-puravida-acai-com-banana-45g-999293.html
7898600992541;Catharine Hill Chill Média Cobertura MC04 - Base Líquida 30ml Mc-4;64.0;https://www.drogaraia.com.br/catharine-hill-angels-wings-chill-2021-4-media-cobertura-base-liquida-30ml-735196.html
7899706159173;CERAVE - CREME HIDRATANTE - 200G;97.5;https://www.drogaraia.com.br/cerave-creme-hidratante-200g-771283.html
869957;Bigens Max Própolis 60 Cápsulas;49.9;https://www.drogaraia.com.br/biogens-max-propolis-60-caps-869957.html
993413;COMBO DESODORANTE COLôNIA 75ML + BATOM VOLUMãO GOIABALê 3,4G + BALM LABIAL HIDRATAçãO INTENSA 8G;282.56;https://www.drogaraia.com.br/combo-desodorante-colonia-75ml-batom-volumao-goiabale-3-4g-balm-labial-hidratacao-intensa-8g-993413.html
33453;Kit Creamy Skincare Vitamina C Mandélico Hidratante Reparador (3 Produtos);259.9;https://www.drogaraia.com.br/kit-creamy-skincare-vitamina-c-mandelico-hidratante-reparador-3-produtos-830825.html
7899572812271;MáSCARA LOLA DANOS VORAZES 450G;68.99;https://www.drogaraia.com.br/mascara-lola-danos-vorazes-450g-860009.html
7896658039430;Lur Desloratadina 0,5mg/ml Xarope 60ml;48.67;https://www.drogaraia.com.br/lur-0-5mg-ml-xarope-60ml-seringa.html
7896094210134;Polivitamínico Matrion para Gestantes 30 comprimidos;55.99;https://www.drogaraia.com.br/matrion-suplemento-alimentar-30-comprimidos.html
6015045329317;KIT 3 MACA POWER 1200MG VITAMINAS MINERAIS 60 CAPS MAXINUTRI;77.84;https://www.drogaraia.com.br/kit-3-maca-power-1200mg-vitaminas-minerais-60-caps-maxinutri-1009855.html
3349668588732;Invictus Victory Paco Rabanne Eau De Parfum - Perfume Masculino 200ml;928.0;https://www.drogaraia.com.br/paco-rabanne-invictus-victory-eau-de-parfum-perfume-masculino-200ml-964235.html
8809253005198;SERINGA UNIQMED INSULINA 0,5ML AGULHA 6X0,25MM 31G - 10 UNIDADES;22.2;https://www.drogaraia.com.br/seringa-uniqmed-insulina-0-5ml-agulha-6x0-25mm-31g-10-unidades-714278.html
