EAN;Produto;Preço (R$);Link
7894916516358;Vognus 5mg 30 Comprimidos Revestidos;85.78;https://www.drogal.com.br/vognus-5mg-30-comprimidos-revestidos/p
63481;Óleo de Linhaça 1g 60 Cápsulas;20.91;https://www.drogal.com.br/oleo-de-linhaca-60-capsulas/p
7898040329587;Floratil 200 Sabor Tutti-Frutti 6 Envelopes;40.09;https://www.drogal.com.br/floratil-200mg-po-oral-6-saches-1g/p
42176763;Gel Esfoliante Facial Nivea Refrescante 75g;34.59;https://www.drogal.com.br/gel-esfoliante-nivea-facial-refrescante-75ml/p
7898039564906;Protetor de Colchão Descartável Higifral Tamanho G - 5 Unidades;22.55;https://www.drogal.com.br/protetor-de-colchao-descartavel-higifral-tamanho-g-5-unidades/p
7897042019328;Creme para Pentear + Creme Hidratante Skala Frutástica Nutrição e Brilho Morango 1kg;9.99;https://www.drogal.com.br/creme-para-pentear-creme-hidratante-skala-frutastica-nutricao-e-brilho-morango-1kg/p
7891158104008;Sof D 2.000ui 30 Cápsulas Gelatinosas Moles;53.29;https://www.drogal.com.br/sof-d-2000ui-30-capsulas-gelatinosas-moles/p
7898040329303;Isoy 10mg 30 Comprimidos Revestidos;45.59;https://www.drogal.com.br/isoy-10mg-30-comprimidos-revestidos/p
7898747480338;Roll-On Kids Mix de Óleo Thérapi Tábata Equilíbrio Noturno 10ml;39.9;https://www.drogal.com.br/roll-on-kids-mix-de-oleo-therapi-tabata-equilibrio-noturno-10ml/p
7896671692896;"Sabonete Íntimo Flores &amp; Vegetais Bálsamo de Copaíba Unissex com Ácido Lático e Mentol 250ml";25.75;https://www.drogal.com.br/sabonete-intimo-flores-e-vegetais-balsamo-de-copaiba-250ml/p
7891150091252;Máscara De Tratamento Tresemmé Detox Capilar 400g;25.79;https://www.drogal.com.br/mascara-de-tratamento-tresemme-detox-capilar-400g/p
609963220670;Creme Facial Calmante Principia CM-01 Multirreparador 40g;43.99;https://www.drogal.com.br/creme-facial-calmante-principia-cm-01-multirreparador-40g/p
7895296055024;Clonazepam 2mg Nova Química 30 Comprimidos;6.59;https://www.drogal.com.br/clonazepam-2mg-nova-quimica-30-comprimidos/p
7891317464004;Noex 100mcg Suspensão em Spray Nasal 100 Doses;73.39;https://www.drogal.com.br/noex-100mcg-suspensao-em-spray-nasal-100-doses/p
7891024034590;Escova Dental Colgate Pro Cuidado 2 Unidades;20.15;https://www.drogal.com.br/escova-dental-colgate-pro-cuidado-2-unidades/p
7891150099777;Kit Rexona Powder Dry Atitranspirante Roll On 2 Unidades 50ml Cada;16.95;https://www.drogal.com.br/kit-rexona-powder-dry-atitranspirante-roll-on-2-unidades-50ml-cada/p
7897947620490;Gel Dental Carmed Fini Dentaduras 70g;19.89;https://www.drogal.com.br/gel-dental-carmed-fini-dentaduras-70g/p
7898927562069;Divalproato de Sódio 500mg Zydus Nikkho 20 Comprimidos;44.49;https://www.drogal.com.br/divalproato-de-sodio-500mg-zydus-nikkho-20-comprimidos/p
7899941200128;Carb Up Black Probiótica 30g Morango;5.45;https://www.drogal.com.br/carb-up-black-30g-morango/p
7891150060159;Sabonete Líquido Lux Botanicals Lavanda 250ml;9.49;https://www.drogal.com.br/saboneteliquidoluxbotanicalslavanda250ml/p
7896235353270;Loção de Limpeza Leite de Colônia Final Fantástico 200ml;9.05;https://www.drogal.com.br/locao-de-limpeza-leite-de-colonia-final-fantastico-200ml/p
7894222042091;Esmalte Cremoso Dailus Funky Flower Daisy Days 8ml;7.99;https://www.drogal.com.br/esmalte-cremoso-dailus-funky-flower-daisy-days-8ml/p
7896658022944;Donila Duo 10/20mg 30 Comprimidos Revestidos;221.9;https://www.drogal.com.br/donila-duo-10-20mg-30-comprimidos-revestidos/p
4006000019338;Desodorante Antitranspirante Aerossol Nivea Men Fresh Active 150ml;17.29;https://www.drogal.com.br/desodorante-antitranspirante-aerossol-nivea-men-fresh-active-150ml/p
7891350033472;Tinta de Cabelo Biocolor Mini Kit Castanho Claro Luxuoso 5.0;14.29;https://www.drogal.com.br/tinta-de-cabelo-biocolor-mini-kit-castanho-claro-luxuoso-50/p
7896094927261;Suplemento Alimentar Curc 60 Comprimidos Revestidos;328.25;https://www.drogal.com.br/suplemento-alimentar-curc-60-comprimidos-revestidos/p
7891317412692;Astro 600mg Suspensão Oral 15ml;52.09;https://www.drogal.com.br/astro-600mg-suspensao-oral-15ml/p
7891317478964;Betina 24mg 30 Comprimidos Revestidos;36.49;https://www.drogal.com.br/betina-24mg-30-comprimidos-revestidos/p
7897411601505;Hirudoid 3mg/g Gel 40g;39.59;https://www.drogal.com.br/hirudoid-300mg-gel-40g/p
7891150080966;Desodorante Antitranspirante Axe Marine Minerais E Salvia 152ml;9.99;https://www.drogal.com.br/desodorante-antitranspirante-axe-marine-minerais-e-salvia-152ml/p
7891150097339;Kit Seda Babosa e Óleos Shampoo 300ml + Condicionador 190ml;20.89;https://www.drogal.com.br/kit-seda-babosa-e-oleos-shampoo-300ml--condicionador-190ml/p
8429420282643;Shampoo Antiqueda Isdin Haircare 414g;149.19;https://www.drogal.com.br/shampoo-antiqueda-isdin-haircare-414g/p
7891010591007;Protetor Solar Neutrogena Sun Fresh FPS70 200ml;130.35;https://www.drogal.com.br/protetor-solar-neutrogena-sun-fresh-fps70-200ml/p
7891058005870;"Suplemento Alimentar Targifor Te Energiza! Imunidade &amp; Energia 30 Comprimidos";58.99;https://www.drogal.com.br/suplemento-alimentar-targifor-te-energiza-imunidade-energia-30-comprimidos/p
7899706187343;Shampoo Elseve Hidra Hialurônico 200ml;19.79;https://www.drogal.com.br/shampoo-elseve-hidra-hialuronico-200ml/p
7899706180986;Condicionador Elseve Liso Dos Sonhos 400ml;29.99;https://www.drogal.com.br/condicionador-elseve-loreal-paris-liso-dos-sonhos-400ml/p
7896658023323;Montelair 4mg Sabor Cereja 30 Comprimidos Mastigáveis;70.49;https://www.drogal.com.br/montelair-4mg-sabor-cereja-30-comprimidos-mastigaveis/p
7896006297413;Leduo 60mg 60 Cápsulas de Liberação Retardada;183.29;https://www.drogal.com.br/leduo-60mg-60-capsulas-de-liberacao-retardada/p
7891350043846;Esmalte Cremoso Verde Claro Risqué Diamond Gel Jardim Mágico Meu Mundo Encantado 9,5ml;17.79;https://www.drogal.com.br/esmalte-risque-diamond-gel-jardim-magico-meu-mundo-encantado-95ml/p
7898040328900;Base Fortalecedora Clotrimix Unhas 7ml;43.29;https://www.drogal.com.br/base-fortalecedora-clotrimix-unhas-7ml/p
7896422519922;Cloridrato de Venlafaxina 37,5mg Medley 30 Cápsulas;31.49;https://www.drogal.com.br/cloridrato-de-venlafaxina-375mg-medley-30-capsulas/p
7891150041639;Máscara de Tratamento Tresemmé Blindagem Antifrizz 400g;25.79;https://www.drogal.com.br/mascara-de-tratamento-tresemme-blindagem-antifrizz-400g/p
7898029558618;Valdoxan 25mg 56 Comprimidos Revestidos;381.19;https://www.drogal.com.br/valdoxan-25mg-56-comprimidos-revestidos/p
7899674040152;Kit Desodorante Antitranspirante Above Men Extreme Black Aerossol 72h 2 Unidades 200ml Cada;21.99;https://www.drogal.com.br/kit-desodorante-antitranspirante-above-men-extreme-black-aerossol-2-unidades-200ml-cada/p
7896714296098;Rivaroxabana 2,5mg Neo Química 60 Comprimidos Revestidos;75.16;https://www.drogal.com.br/rivaroxabana-25mg-neo-quimica-60-comprimidos-revestidos/p
7891010256630;Tylenol Dor de Cabeça 10 Comprimidos Revestidos;15.99;https://www.drogal.com.br/tylenol-dor-de-cabeca-10-comprimidos-revestidos/p
7894650940006;Loção Repelente Off Family 200ml;13.99;https://www.drogal.com.br/locao-repelente-off-family-200ml/p
7898718960470;Fone De Ouvido Iphone Leve-Me PD 1 Unidade;35.9;https://www.drogal.com.br/fone-de-ouvido-iphone-leve-me-pd-1-unidade/p
7896422511902;Oxcarbazepina 300mg Medley 30 Comprimidos Revestidos;32.19;https://www.drogal.com.br/oxcarbaz-300mg-30cpgmdl-c1/p
7896094928732;Lisador Cólica 20 Comprimidos Revestidos;23.89;https://www.drogal.com.br/lisador-colica-20-comprimidos-revestidos/p
7896004708942;Espironolactona - EMS 25mg caixa com 30 comprimidos;16.39;https://www.drogal.com.br/espironolact-25mg-30cpg-ems/p
4005900079664;Creme Facial Antissinais Nivea Q10 Energy Dia FPS15 50g;52.9;https://www.drogal.com.br/creme-facial-antissinais-nivea-q10-energy-dia-fps15-50g/p
7891058022686;Suplemento Alimentar Targifor Imunidade A-Z Mulher 60 Cápsulas;89.9;https://www.drogal.com.br/suplemento-alimentar-targifor-imunidade-a-z-mulher-60-capsulas/p
7898430191886;Coltrieno 10mg/g Creme Vaginal 30g + 20 Aplicadores;92.19;https://www.drogal.com.br/coltrieno-10mgg-creme-vaginal-30g-20-aplicadores/p
7891033483198;Refil Condicionador Eudora Siàge Nutri Rosé 400ml;56.25;https://www.drogal.com.br/refil-condicionador-eudora-siage-nutri-rose-400ml/p
7908615060385;Shampoo Elseve Glycolic Gloss 200ml;19.79;https://www.drogal.com.br/shampoo-elseve-glycolic-gloss-200ml/p
7898133139741;Aftliv Solução Oral 25ml - Natulab;24.09;https://www.drogal.com.br/aftliv-solucao-oral-25ml-natulab/p
7899916906017;Suco Natural One 100% Sabor Laranja 180ml;6.85;https://www.drogal.com.br/suco-natural-one-100-sabor-laranja-180ml/p
7891158106545;Suplemento Nutricional Infantil Pediasure Sabor Morango 400g;82.19;https://www.drogal.com.br/suplemento-nutricional-infantil-pediasure-sabor-morango-400g/p
7898968269552;Bastão 3 em 1 Ollie Blush, Batom e Sombra FPS95 Cor Rosa Malva 4,5g;98.99;https://www.drogal.com.br/bastao-3-em-1-ollie-blush-batom-e-sombra-fps95-cor-rosa-malva-45g/p
7891033718702;Óleo Bronzeador Australian Gold Intensificador Spray 237ml;83.75;https://www.drogal.com.br/bronzeador-corporal-australian-gold-intensificador-237ml/p
7898935580130;Suplemento Alimentar Icosacor 30 Cápsulas Gastrorresistentes;167.89;https://www.drogal.com.br/suplemento-alimentar-icosacor-30-capsulas-gastrorresistentes/p
7896112401605;Vonau Flash 8mg Sabor Menta 10 Comprimidos;85.9;https://www.drogal.com.br/vonau-flash-8mg-10-comprimidos-menta-biolab/p
7898560666926;Geodon 40mg 30 Cápsulas;592.09;https://www.drogal.com.br/geodon-40mg-30-capsulas/p
7896658003561;Decadron Nasal Solução Nasal Nebulizador 20ml;37.69;https://www.drogal.com.br/decadron-nasal-solucao-nasal-nebulizador-20ml/p
7896015530181;Escova Dental Sensodyne Multi Proteção 1 Unidade;14.69;https://www.drogal.com.br/escova-dental-sensodyne-multi-protecao/p
7891058002664;Hidroclorotiazida - Medley 50mg caixa com 20 comprimidos;4.19;https://www.drogal.com.br/hidroclorotiaz-50mg-20cpgmdl/p
7891150064737;Desodorante Antitranspirante Aerosol Rexona Frutas Vermelhas 150ml;12.99;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-rexona-feminino-frutas-vermelhas-150ml/p
7896676433104;Colírio Maxibell 10ml;14.38;https://www.drogal.com.br/coliriomaxibell10ml/p
7896902214897;Glicerina bidestilada farmax com aloe vera 100ml;11.99;https://www.drogal.com.br/glicerina-hidr-farmax-100ml/p
7891010250799;Protetor Solar Facial Neostrata Minesol Oil Control Médio Claro FPS70 40g;79.69;https://www.drogal.com.br/protetor-solar-neostrata-minesol-oil-control-pele-morena-fps70-40g/p
7898636190027;Água Micelar Cicatricure 200ml;25.29;https://www.drogal.com.br/agua-micelar-cicatricure-200ml/p
7908079513809;Flatulon Kids 75mg/ml Solução Oral Gotas Sabor Cereja 15ml;8.99;https://www.drogal.com.br/flatulon-kids-75mg-ml-solucao-oral-gotas-sabor-cereja-15ml/p
7895296098113;Cloridrato de Pioglitazona 30mg 30 Comprimidos - Nova Química;72.89;https://www.drogal.com.br/cloridrato-de-pioglitazona-30mg-30-comprimidos-nova-quimica/p
7891150100350;Máscara de Tratamento Tresemmé Profissional Blindagem Antiumidade 400g;25.79;https://www.drogal.com.br/mascara-de-tratamento-tresemme-profissional-blindagem-antiumidade-400g/p
7891137006453;Pastilhas Valda Extra Forte Sem Açúcar Sabor Mentol, Eucaliptol e Timol 50g;32.99;https://www.drogal.com.br/pastilha-valda-friends-extra-forte-sabor-mentol-eucaliptol-e-timol-sem-acucar-50g/p
