EAN;Produto;Preço (R$);Link
7896235354260;Sabonete Refil Monange Detox (200mL);6.85;https://www.drogaven.com.br/sabonete-monange-detox-refil-200ml/p
7896241296400;Vonau Flash 8mg 10 Comprimidos de Desintegração Oral Sabor Morango;61.64;https://www.drogaven.com.br/vonau-flash-8mg-10-comprimidos-de-desintegracao-oral/p
7500435145251;KIT LENCO UMEDECIDO PAMPERS ALOE VERA 48 UN C/ 03 PACOTES;55.76;https://www.drogaven.com.br/kit-lenco-umedecido-pampers-aloe-vera-48-un-c-03-pacotes/p
7891268105902;Pletil 500mg, caixa com 4 comprimidos revestidos;21.34;https://www.drogaven.com.br/pletil-4cpr/p
7898636191345;Creme Hidratante Goicoechea DiabetTX Plus 10% Ureia 250g;44.98;https://www.drogaven.com.br/creme-hidratante-goicoechea-diabettx-plus-10-ureia-250g/p
7896112407270;LIVALO 2MG 90CPR;204.72;https://www.drogaven.com.br/livalo-2mg-90cpr/p
7897473207646;SALMETEROL+FLUTICASONA 25/50 120DOSES GLENMARK GENER;96.68;https://www.drogaven.com.br/salmeterolfluticasona-2550-120doses-glenmark-gener/p
7896714270913;Orlistate Neo Química 120mg, 30 cápsulas gelatinosas duras;136.24;https://www.drogaven.com.br/orlistate-neo-quimica-120mg-30-capsulas-gelatinosas-duras/p
7898270151897;Meia Sigvaris Select Comfort Premium 3/4 862 20-30mmHg Ponteira Fechada XG Natural Escuro XG3;247.84;https://www.drogaven.com.br/meia-sigvaris-premium-34-gg3-20-30mmhg-cponteira/p
7896658029462;Protetor Solar Profuse Ensolei Antiacne Color FPS 30 (40g);64.58;https://www.drogaven.com.br/protetor-solar-profuse-ensolei-antiacne-color-fps-30-com-40g/p
7898433200783;LENCOL DESCARTAVEL ANADONA 2MX90CM C/ ELASTICO 10UN;16.65;https://www.drogaven.com.br/lencol-descartavel-anadona-2mx90cm-c-elastico-10un/p
7898040327989;Demi-D 7000UI, 4 comprimidos revestidos;14.73;https://www.drogaven.com.br/demi-d-7000ui-4-comprimidos-revestidos/p
7908192705846;PROTETOR PARA UNHAS ENCRAVADAS HIDROLIGHT G;23.75;https://www.drogaven.com.br/protetor-para-unhas-encravadas-hidrolight-g/p
7909843688778;Havaianas Slim Disney Amarelo Pixel Tam 27/28;40.08;https://www.drogaven.com.br/havaianas-slim-disney-amarelo-pixel-278-1221534/p
7896112136804;Dimezin 125mg, 10 cápsulas gelatinosas moles;14.6;https://www.drogaven.com.br/dimezin-125mg-10-capsulas-gelatinosas-moles/p
7891000310328;NUTREN JUST PROTEIN 280G SEM SABOR;167.48;https://www.drogaven.com.br/nutren-just-protein-280g-sem-sabor/p
7891317031398;Prosso KM Momenta Zero Adição de Açúcares caramelo, 30 tabletes mastigáveis;151.38;https://www.drogaven.com.br/prosso-km-momenta-zero-adicao-de-acucares-caramelo-30-tabletes-mastigaveis/p
7898037084864;Arnica Montana 6CH Gotas (15mL);29.39;https://www.drogaven.com.br/arnica-almeida-prado-gotas-15ml/p
7896112110330;Lisinopril Teuto 20mg, 30 comprimidos;100.22;https://www.drogaven.com.br/lisinopril-teuto-20mg-30-comprimidos/p
7896094914087;Adesivo Térmico Atroveran Hot 1 unidade;12.26;https://www.drogaven.com.br/adesivo-termico-atroveran-hot-1-unidade/p
7896006257929;Bisalax 5mg, 20 comprimidos revestidos de liberação retardada;8.37;https://www.drogaven.com.br/bisalax-5mg-20-comprimidos-revestidos-de-liberacao-retardada/p
7898283816868;CATETER 20G DESCARPACK;2.49;https://www.drogaven.com.br/cateter-20g-descarpack/p
7898037086639;Atropa Belladonna D1 pomada com 25g;38.06;https://www.drogaven.com.br/atropa-belladonna-d1-pomada-com-25g/p
7896044600268;Creme Desodorante Minancora Alívio para os Pés 80g;18.12;https://www.drogaven.com.br/creme-desodorante-minancora-alivio-para-os-pes-80g/p
7896191204609;Meia 3/4 de Compressão Kendall 20-30mmHg G, ponteira aberta, mel;211.44;https://www.drogaven.com.br/meia-34-de-compressao-kendall-20-30mmhg-g-ponteira-aberta-mel/p
7756509000036;I2GO CABO IPHONE 4 1,2METROS;29.3;https://www.drogaven.com.br/i2go-cabo-iphone-4-12metros/p
7898625791433;Shampoo Truss Summer Proteção contra Agressões do Verão 300ml;59.77;https://www.drogaven.com.br/shampoo-la-moda-truss-summer-300ml/p
7891058013196;Maalox 153mg + 200mg + 25mg, caixa com 30 comprimidos mastigáveis, sabor menta;24.66;https://www.drogaven.com.br/maalox-plus-menta-30cpr/p
7896014140572;Tintura L'Oréal Imédia Excellence Creme Nº 6.66 Vermelho Acetinado;28.12;https://www.drogaven.com.br/tintura-loreal-imedia-excellence-creme-no-666-vermelho-acetinado/p
7891106007030;Xarelto 10mg, 10 comprimidos revestidos;124.52;https://www.drogaven.com.br/xarelto-10mg-10-comprimidos-revestidos/p
7896023719912;Spray Própolis e Gengibre Melagrião Kids tutti-frutti, frasco com 30mL;19.5;https://www.drogaven.com.br/spray-propolis-e-gengibre-melagriao-kids-tutti-frutti-frasco-com-30ml/p
7896094920279;Addera D3 Cápsulas 1000UI, 30 cápsulas moles;69.59;https://www.drogaven.com.br/addera-d3-capsulas-1000ui-30-capsulas-moles/p
7891142207036;Sabonete Facial Ivy C líquido 200mL;70.11;https://www.drogaven.com.br/sabonete-facial-ivy-c-liquido-200ml/p
79400052926;Desodorante Antitranspirante Feminino Rexona Clinical Classic cream stick 48g;0.0;https://www.drogaven.com.br/desodorante-antitranspirante-feminino-rexona-clinical-classic-cream-stick-48g/p
7898716456159;Suplemento Alimentar em Pó Hidrafito Sabor Uva com 4 Sachês de 7g Cada;19.5;https://www.drogaven.com.br/hidrafito-4envelopes-uva/p
7896512939678;Sabonete Granado Glicerina erva-doce, líquido 300mL;23.02;https://www.drogaven.com.br/sabonete-granado-glicerina-erva-doce-liquido-300ml/p
7896000716804;Reparador de Pontas Niely Gold Liso Prolongado 42mL;21.75;https://www.drogaven.com.br/reparador-de-pontas-niely-gold-liso-prolongado-42ml/p
7898270181290;Meia de Compressão Feminina 3/4 Attiva 18-21mmHg - P, ponteira aberta, natural;58.7;https://www.drogaven.com.br/meia-attiva-panturrilha18-p-ponteira-aberta-fem-natural/p
7897018520100;Curativo Blood Stop AMP 200 unidades;36.51;https://www.drogaven.com.br/curativo-blood-stop-amp-200-unidades/p
7500435011297;Aparelho para Barbear Gillette Prestobarba UltraGrip 3 2 unidades;14.69;https://www.drogaven.com.br/aparelho-para-barbear-gillette-prestobarba-ultragrip-3-2-unidades/p
7898225520822;ATLHETICA CREATINA GLYCO HD LIMAO 300G...;63.95;https://www.drogaven.com.br/atlhetica-creatina-glyco-hd-limao-300g/p
7897595620637;Rosuvastatina Cálcica Sandoz 20mg, caixa com 30 comprimidos revestidos;25.99;https://www.drogaven.com.br/rosuvastatina-20mg-30cpr-sandoz-generico/p
7896230304604;Hidroral frasco com 500mL de solução de uso oral, sabor uva;19.59;https://www.drogaven.com.br/hidroral-frasco-com-500ml-de-solucao-de-uso-oral-sabor-uva/p
7891522503550;FRALDA CAPRICHO BABY HIPER SXG 54UN;53.8;https://www.drogaven.com.br/fralda-capricho-baby-hiper-sxg-54un/p
7896261012523;Diovan Amlo Fix 160mg + 10mg, 28 comprimidos revestidos;183.59;https://www.drogaven.com.br/diovan-amlo-fix-160mg-10mg-28-comprimidos-revestidos/p
7898254100057;Bucha Vegetal Campo Belo;5.87;https://www.drogaven.com.br/esponja-banho-campo-belo-bucha-vegetal-pedaco/p
7896472520206;Resfegripe 400mg + 4mg + 4mg, 20 cápsulas duras;20.11;https://www.drogaven.com.br/resfegripe-400mg-4mg-4mg-20-capsulas-duras/p
7894916503761;Aglucose 100mg, 30 comprimidos;59.4;https://www.drogaven.com.br/aglucose-100mg-30-comprimidos/p
7908615062471;TINTURA COR&TON  0% AMONIA 6.0 LOURO ESCURO;19.1;https://www.drogaven.com.br/tintura-corton-0-amonia-60-louro-escuro/p
7891150024816;Sabonete Antibacterial Rexona Bamboo barra com 84g;2.93;https://www.drogaven.com.br/sabonete-antibacterial-rexona-bamboo-barra-com-84g/p
7896112402688;Dozoito 100mg, caixa com 30 comprimidos revestidos de liberação prolongada;97.99;https://www.drogaven.com.br/dozoito-100mg-30cpr/p
7898440161961;ESPALDEIRA POSTURAL EM ELÁSTICO M CHANTAL;68.64;https://www.drogaven.com.br/espaldeira-postural-em-elastico-m-chantal/p
7891000234105;Complemento Alimentar Nutren Active Chocolate 400g;46.21;https://www.drogaven.com.br/suplemento-alimentar-nutren-active-chocolate-lata-400g/p
7898632472592;Sabonete Facial Demaquilante Labotrat frasco com 100mL;19.5;https://www.drogaven.com.br/sabonete-labotrat-facial-demaquilante-4em1-100ml/p
7896191258497;Meia 7/8 Kendall 18-21mmHg M, ponteira fechada, mel;127.3;https://www.drogaven.com.br/meia-78-kendall-18-21mmhg-m-ponteira-fechada-mel/p
7896083400935;Rinospray 9mg/mL, frasco spray com 100mL de solução de uso nasal;29.3;https://www.drogaven.com.br/rinospray-100ml/p
7896006222767;Vitamina C Efervescente Bio-C Kids Infantil com 10 Comprimidos;21.65;https://www.drogaven.com.br/bio-c-kids-vitamina-c-sabor-morango-sacucar-10cpr/p
7896902211438;Diluente Óleo de Banana Farmax sem Acetona 28mL;4.41;https://www.drogaven.com.br/diluente-oleo-de-banana-farmax-sem-acetona-28ml/p
7899828232549;TERMOMETRO DIGITAL INCOTERM GALINHA PINTADINHA ROSA BLISTER;20.48;https://www.drogaven.com.br/termometro-digital-incoterm-galinha-pintadinha-rosa-blister/p
7891350033533;Tintura Creme Biocolor mini, nº 7.0 louro arraso;11.86;https://www.drogaven.com.br/tintura-creme-biocolor-mini-no-70-louro-arraso/p
7896422516624;Respiratus 7mg/mL, caixa contendo frasco com 100mL de xarope + 1 copo medidor;35.04;https://www.drogaven.com.br/respiratus-7mgml-caixa-contendo-frasco-com-100ml-de-xarope-1-copo-medidor/p
7896342453115;Cotoveleira Elástica Mercur G, preto;34.2;https://www.drogaven.com.br/cotoveleira-elastica-mercur-g-preto-bc0660-cp/p
