EAN;Produto;Preço (R$);Link
7896013563594;Creme de Cabelo Tratamento Novex Óleo de Argan 400g;13.99;https://www.drogaraia.com.br/novex-creme-de-tratamento-oleo-de-argan-400g.html
803397;Shampoo Sirius Restaurador Intenso Ação Anti-Frizz 1L;167.7;https://www.drogaraia.com.br/shampoo-profissional-restaurador-intenso-de-sirius-1l-803397.html
8005610531663;Shampoo Wella Oil Reflections Nutrição 250ml;137.99;https://www.drogaraia.com.br/shampoo-wella-oil-reflections-250ml-860174.html
1003756;Tesoura para Unhas Dos Pés Em Aço Inoxidável Qvs;17.95;https://www.drogaraia.com.br/tesoura-para-unhas-dos-pes-em-aco-inoxidavel-qvs-039-1003756.html
7891317014414;Citta Bromidrato de Citalopram 20mg 30 comprimidos;92.49;https://www.drogaraia.com.br/citta-20mg.html
26270;Kit Truss Equilibrium Mask Frizz Zero (4 Produtos);599.99;https://www.drogaraia.com.br/kit-truss-equilibrium-mask-frizz-zero-4-produtos-774700.html
7898625791549;RECONSTRUTOR TRUSS USO OBRIGATóRIO PLUS 260ML;196.49;https://www.drogaraia.com.br/reconstrutor-truss-uso-obrigatorio-plus-260ml-919972.html
7896033203371;CHUPETA BICO DE SILICONE FUNNY 6M+ AZUL - LILLO;14.9;https://www.drogaraia.com.br/chupeta-bico-de-silicone-funny-6m-azul-lillo-715339.html
7898576399733;SUGADOR ROSA - FLUTUA ROSE;297.35;https://www.drogaraia.com.br/sugador-rosa-flutua-rose-982202.html
7899525658130;Kit Colher Buba Baby Colorido com 6 unidades;19.9;https://www.drogaraia.com.br/buba-kit-colheres-colorido-3-unidades.html
606529424350;TRUE WHEY PROTEIN CONCENTRATE ZERO LACTOSE 900G TRUE SOURCE Baunilha;232.43;https://www.drogaraia.com.br/true-whey-protein-concentrate-zero-lactose-900g-true-source-baunilha-927686.html
7898680413424;TREONATO MAGNéSIO E TREONINA 60 CáPSULAS BIOKLEIN;42.0;https://www.drogaraia.com.br/treonato-magnesio-e-treonina-60-capsulas-bioklein-811773.html
7898616750494;BCAA 10:1:1 (250G) - SABOR: MORANGO;89.9;https://www.drogaraia.com.br/bcaa-10-1-1-250g-sabor-morango-882643.html
7899852024226;BLUSH VULT FUN BRONZE NATURAL 6,5G;34.45;https://www.drogaraia.com.br/blush-vult-fun-bronze-natural-6-5g-947233.html
7896331705720;Resfenol 10 cápsulas;11.9;https://www.drogaraia.com.br/resfenol-anti-gripal-10-capsulas.html
7896181907497;Lotar Anlodipino 2,5mg + Losartana Potássica 50mg 30 cápsulas;71.59;https://www.drogaraia.com.br/lotar-2-5-50mg-30-capsulas.html
883894;BOSS BOTTLED EAU DE PARFUM MASCULINO 100ML;409.9;https://www.drogaraia.com.br/boss-bottled-eau-de-parfum-masculino-100ml-883894.html
3607342107977;PERFUME CALVIN KLEIN ETERNITY AQUA MASCULINO 100 ML;463.48;https://www.drogaraia.com.br/perfume-calvin-klein-eternity-aqua-masculino-100-ml-980936.html
949566;Energético em Pó Essential Nutrition Carbolifit Palationese 300g;111.51;https://www.drogaraia.com.br/carbolift-essential-nutrition-300g-949566.html
7896046700676;POMADA PARA CABELO MASCULINA FIXAçãO NORMAL EFEITO MATTE CHARMING MEN 50G;25.9;https://www.drogaraia.com.br/pomada-para-cabelo-masculina-fixacao-normal-efeito-matte-charming-men-50g-1016527.html
7891033475971;Desodorante Antitranspirante Aerosol Eudora Instance Frutas Vermelhas Feminino 48H 150Ml;19.19;https://www.drogaraia.com.br/eudora-instance-frutas-vermelhas-desodorante-aerosol-150ml-642716.html
7898322343324;KIT SILVER LINE SHAMPOO MENTOLADO 300ML + SHAVING GEL 200ML + HIDRATANTE PóS BARBA 140ML;103.49;https://www.drogaraia.com.br/kit-silver-line-shampoo-mentolado-300ml-shaving-gel-200ml-hidratante-pos-barba-140ml-938149.html
3326240005474;Ulric De Varens So Varens Paris Eau De Parfum 75Ml - Avarias Na Embalagem;131.35;https://www.drogaraia.com.br/ulric-de-varens-so-varens-paris-eau-de-parfum-75ml-avarias-na-embalagem-693866.html
692651;TOMMY HILFIGER TOMMY GIRL FEMININO EAU DE TOILETTE 100ML;513.33;https://www.drogaraia.com.br/tommy-hilfiger-tommy-girl-feminino-eau-de-toilette-100ml-692651.html
7899662602560;Condicionador Nick Vick Defesa Diária Proteção UV 250ml;47.9;https://www.drogaraia.com.br/condicionador-defesa-diaria-nick-vick-alta-performance-250ml-717442.html
8436097093571;BYPHASSE FLEUR DE TIARé DE TAHITI - GEL DE BANHO 500ML;56.0;https://www.drogaraia.com.br/byphasse-fleur-de-tiare-de-tahiti-gel-de-banho-500ml-898675.html
7899706197502;CREME PARA PENTEAR LEAVE IN ELSEVE CACHOS SONHOS 250ML;23.27;https://www.drogaraia.com.br/creme-para-pentear-leave-in-elseve-cachos-sonhos-250ml-740216.html
7898692980914;ABSOLUTE NEW YORK MAGIQUICK MAGIC UNHAS POSTIçAS MéDIA AUTOCOLANTE QUADRADA BLACK 24 UNIDADES;43.9;https://www.drogaraia.com.br/absolute-new-york-magiquick-magic-unhas-posticas-media-autocolante-quadrada-black-24-unidades-676903.html
815231;ÔMEGA 3 EPA DHA 1G (120 CAPS) VITAFOR - PADRãO: ÚNICO;149.9;https://www.drogaraia.com.br/omega-3-epa-dha-1g-120-caps-vitafor-padrao-unico-815231.html
834685;Desodorante Antitranspirante Aerosol Adidas Sport Energy Masculino 72h Cool & Dry 150ml ;18.07;https://www.drogaraia.com.br/desodorante-aerossol-adidas-masculino-sport-energy-150ml-834685.html
748370;Royal Marina Diamond Princess Marina de Bourbon Eau de Parfum 100ml - Perfume Feminino;384.0;https://www.drogaraia.com.br/marina-de-bourbon-royal-marina-eau-de-parfum-perfume-feminino-748370.html
8058664134472;COPO DE TREINAMENTO 6M+ CHICCO VERDE;79.9;https://www.drogaraia.com.br/copo-de-treinamento-6m-chicco-verde-872930.html
7792253844687;Kit Braé Feminino Deo Parfum 100ml + Leave-In Finalizador para Cabelo Hair Repair 260ml;294.99;https://www.drogaraia.com.br/kit-brae-for-her-deo-parfum-e-essential-hair-repair-spray-2-produtos-1007144.html
7896094208537;LIBBS FILTRUM ULTRA SECO PELE OLEOSA FPS30 60G;103.57;https://www.drogaraia.com.br/libbs-filtrum-ultra-seco-pele-oleosa-fps30-60g-687355.html
7908458306879;SALON LINE, MáSCARA CAPILAR, MARIA NATUREZA, NUTRIçãO EXTRAORDINáRIA, MURUMURU E ABACATE, VEGANA - TODOS OS TIPOS DE CABELOS, 200 G;15.9;https://www.drogaraia.com.br/salon-line-mascara-capilar-maria-natureza-nutricao-extraordinaria-murumuru-e-abacate-vegana-todos-os-tipos-de-cabelos-200-g-862355.html
7896509974217;Gel Líquido Cabelo Cacheado Soul Power Modeling Curls Seiva Modeladora 315 ml;27.29;https://www.drogaraia.com.br/soul-power-gel-liquido-modeling-curls-315ml.html
7891142144270;PROTETOR SOLAR FACIAL EPISOL COLOR FPS30 PELE CLARA 40G;92.5;https://www.drogaraia.com.br/protetor-solar-facial-episol-color-fps30-pele-clara-40g-879144.html
7792252963754;KIT JACQUES JANINE HAIR SUN PROTECT SHAMPOO CONDICIONADOR E MáSCARA P (3 PRODUTOS);126.99;https://www.drogaraia.com.br/kit-jacques-janine-hair-sun-protect-shampoo-condicionador-e-mascara-p-3-produtos-927918.html
987930;Xtreme Gainer c/ Creatina 3Kg - Bio Sports USA Sabor:Baunilha;142.0;https://www.drogaraia.com.br/xtreme-gainer-3kg-bio-sports-usa-baunilha-987930.html
3386460028424;Femme Individualle Montblanc Eau de Toilette 75ml - Perfume Feminino;438.79;https://www.drogaraia.com.br/perfume-montblanc-individuelle-feminino-edt-75-ml-865669.html
871561;Shampoo Braé Soul Color Proteção da Cor 250ml;49.99;https://www.drogaraia.com.br/shampoo-brae-soul-color-250ml-871561.html
7896770982140;Roupa Íntima Tena Pants Confort G/EG 32 unidades;129.9;https://www.drogaraia.com.br/roupa-intima-tena-pants-confort-g-eg-32-unidades-666477.html
7891033925506;Shampoo Eudora Siáge Reconstrói Os Fios 4D 250ml;44.9;https://www.drogaraia.com.br/eudora-siage-reconstroi-os-fios-4d-shampoo-250ml-676993.html
7897517928506;Shampoo A Seco Ricca Menta 150Ml 2850;35.75;https://www.drogaraia.com.br/shampoo-a-seco-ricca-menta-150ml-2850-646800.html
7893244127830;3X GEL BT NITRATO DOBRO SABOR REDBERRY 10 UNIDADES 30G;479.9;https://www.drogaraia.com.br/3x-gel-bt-nitrato-dobro-sabor-redberry-10-unidades-30g-998954.html
8003085701260;LA FLORENTINA LAVENDER LIQUID SOAP 500ML;46.47;https://www.drogaraia.com.br/la-florentina-lavender-liquid-soap-500ml-1016641.html
1000043596330;KIT ENGOV AFTER 4 SABORES - 2 UNIDADES CADA;100.0;https://www.drogaraia.com.br/kit-engov-after-4-sabores-2-unidades-cada-690645.html
8411061930878;Seduction In Black Banderas Eau De Toilette - Perfume Masculino 200ml;299.0;https://www.drogaraia.com.br/antonio-bandeiras-black-seduction-200ml-704338.html
8022297065014;Alfaparf Semi Di Lino Diamond Extraordinary All In One - Protetor Térmico 125Ml;109.9;https://www.drogaraia.com.br/alfaparf-milano-professional-semi-di-lino-diamond-extraordinary-all-in-one-leave-in-125ml-688510.html
7898943477606;ÁGUA OXIGENADA ACQUAFLORA 10 VOLUMES 120ML;20.15;https://www.drogaraia.com.br/agua-oxigenada-acquaflora-10-volumes-120ml-640445.html
250000000033;PROTESE MAMARIA EM SILICONE TRIANGULAR 1052 ORTHOPAUHER 7AO 10 8;251.0;https://www.drogaraia.com.br/protese-mamaria-em-silicone-triangular-1052-orthopauher-7ao-10-8-935122.html
730109;Metilfolato L Metil Folato Ácido Fólico 60 Capsulas Biogens Neutro;39.9;https://www.drogaraia.com.br/metilfolato-l-metil-folato-acido-folico-60-capsulas-biogens-730109.html
7897153000420;Kit Leite Condensado Flormel Zero Açúcar 200G com 2 Unidades ;53.8;https://www.drogaraia.com.br/kit-leite-condensado-flormel-zero-acucar-200g-com-2-unidades-u-unica-1000434.html
974736;Gucci Flora Gorgeous Jasmine Eau de Parfum 50ml - Perfume Feminino;799.0;https://www.drogaraia.com.br/gucci-flora-gourgeous-jasmine-edp-perfume-feminino-50ml-974736.html
7898567894612;MáSCARA PROGRESSIVA NO CHUVEIRO INTENSIVE ABELHA RAINHA 300G;38.99;https://www.drogaraia.com.br/mascara-progressiva-no-chuveiro-intensive-abelha-rainha-300g-881644.html
7896015529086;Anoro Ellipta Brometo de Umeclidinio 62,5mcg + Trifenatato de Vilanterol 25mcg 30 doses;367.02;https://www.drogaraia.com.br/anoro-62-5-25-mcg-30-doses.html
7899732112159;ATLAS CREATINA (90G) - PADRãO: ÚNICO;50.96;https://www.drogaraia.com.br/atlas-creatina-90g-padrao-unico-1011874.html
789500000238;KIT FACIAL VICHY MINéRAL 89 - SéRUM 50ML E SéRUM PARA OS OLHOS 15ML;361.9;https://www.drogaraia.com.br/kit-facial-vichy-mineral-89-serum-50ml-e-serum-para-os-olhos-15ml-796183.html
7899572813384;Máscara de Cabelo Fortificante Lola Cosmetics Rapunzel 450g;39.9;https://www.drogaraia.com.br/lola-cosmetics-rapunzel-mascara-fortificante-450g-764707.html
4015630066841;Tiras-teste de Glicemia Accu-Chek Guide 50 unidades;134.99;https://www.drogaraia.com.br/accu-chek-guide-com-50-tiras.html
7908607305111;BANDAGEM ELáSTICA ADESIVA KINESIOLóGICA DELLAMED MARROM;35.91;https://www.drogaraia.com.br/bandagem-elastica-adesiva-kinesiologica-dellamed-marrom-980925.html
7896311771783;MAGNéSIO 60 Cápsulas Neutro;51.83;https://www.drogaraia.com.br/magnesio-60-capsulas-neutro-828897.html
7899026408340;ESMALTE COLORAMA CREMOSO GABRIELE 8ML;18.99;https://www.drogaraia.com.br/esmalte-colorama-cremoso-gabriele-8ml-1014356.html
7899572811052;Shampoo Camomila Lola Brilho Intenso 250ml;57.99;https://www.drogaraia.com.br/shampoo-lola-camomila-250ml-986288.html
7891000073100;Cereal Infantil Nestlé Mucilon Arroz e Aveia Integral 600g;27.99;https://www.drogaraia.com.br/mucilon-cereal-infantil-arroz-e-aveia-600g.html
7893339006842;2X BLISTER GUMMIES CABELOS, PELE E UNHAS- GLOBAL- 42 GOMAS;109.25;https://www.drogaraia.com.br/2x-blister-gummies-cabelos-pele-e-unhas-global-42-gomas-936447.html
7899706206532;Kit SkinCeuticals Sérum 10 Antioxidante 15ml + Sérum Corretor Phyto Corrective 15ml;413.0;https://www.drogaraia.com.br/skinceuticals-kit-serum-antioxidante-serum-10-15ml-phyto-corrective-15ml.html
7891182001892;Esmalte Cremoso Risqué 8ml - Paris;6.19;https://www.drogaraia.com.br/risque-esmalte-cremoso-paris-8ml.html
7896523208404;Nevralgex Dipirona Monoidratada 300mg + Cafeína 50 mg + Citrato de Orfenadrina 35 mg 30 comprimidos;26.09;https://www.drogaraia.com.br/nevralgex-30-comprimidos.html
7898606743901;SéRUM LEAVE-IN CADIVEU PROFESSIONAL SOS HAIR REMEDY 15 IN 1 - 120ML;68.99;https://www.drogaraia.com.br/serum-leave-in-cadiveu-professional-sos-hair-remedy-15-in-1-120ml-899570.html
7898474841624;KIT SHAMPOO + CONDICIONADOR TOK BOTHâNICO PERA 400ML;17.54;https://www.drogaraia.com.br/kit-shampoo-condicionador-tok-bothanico-pera-400ml-943699.html
7896032654976;Bruna Tavares BT Glue - Fixador de Glitter 10ml;46.0;https://www.drogaraia.com.br/bruna-tavares-bt-glue-fixador-de-glitter-10ml-734892.html
7893595771041;Kit com 2 Floral Thérapi Serenide  Muwiz;85.9;https://www.drogaraia.com.br/kit-com-2-floral-therapi-serenide-muwiz-1001193.html
769856;SHAMPOO NUTRITIVO ELA é CARIOCA LOLA COSMETICS 500ML;44.9;https://www.drogaraia.com.br/shampoo-nutritivo-ela-e-carioca-lola-cosmetics-500ml-769856.html
7891000255544;Composto Lácteo Nestonutri 800G;74.98;https://www.drogaraia.com.br/composto-lacteo-nestonutri-800g-703646.html
7896467567292;Kit Condicionador 200ml E Oil Reflections 30ml Light - Wella;183.99;https://www.drogaraia.com.br/kit-condicionador-200ml-e-oil-reflections-30ml-light-wella-871226.html
693277;CALVIN KLEIN EUPHORIA FEMININO EAU DE PARFUM 100ML;523.45;https://www.drogaraia.com.br/calvin-klein-euphoria-feminino-eau-de-parfum-100ml-693277.html
7500435127240;Absorvente Always Suave P com Abas 8 unidades;5.25;https://www.drogaraia.com.br/always-absorvente-super-proteo-suave-com-abas-8-unidades.html
7898524347687;MáSCARA DE HIDRATAçãO SALON LINE SOS BOMBA VITAMINAS 1KG;51.99;https://www.drogaraia.com.br/mascara-de-hidratacao-salon-line-sos-bomba-vitaminas-1kg-831982.html
871113;Kit Enrich Shampoo, Condicionador, Máscara E Oil Reflections - Wella;330.99;https://www.drogaraia.com.br/kit-enrich-shampoo-condicionador-mascara-e-oil-reflections-wella-871113.html
8011003818112;Versace Crystal Absolut Edp Perfume Feminino 90Ml;659.9;https://www.drogaraia.com.br/versace-crystal-absolut-edp-perfume-feminino-90ml-769853.html
7805092518074;Combo Siàge Pro Cronology: Shampoo 250Ml + Condicionador 200Ml + Escova De Desembaraçar;155.97;https://www.drogaraia.com.br/combo-siage-pro-cronology-shampoo-250ml-condicionador-200ml-escova-de-desembaracar-931221.html
3614226404084;ÓLEO CAPILAR WELLA PROFESSIONALS REFLECTION 100ML;262.47;https://www.drogaraia.com.br/oleo-capilar-wella-professionals-reflection-100ml-944134.html
7908414444195;TERMôMETRO TOUCH CARE DIGITAL MULTI SAúDE HC498;84.65;https://www.drogaraia.com.br/termometro-touch-care-digital-multi-saude-hc498-1006195.html
7896196702032;GEL CRIOTERáPICO REDUTOR DE MEDIDAS CELULITE E ESTRIAS MENTOL CANFORA E CAFEíNA 750G;56.9;https://www.drogaraia.com.br/gel-crioterapico-redutor-de-medidas-celulite-e-estrias-mentol-canfora-e-cafeina-750g-888085.html
7896615101019;Copo Descartável para Inalador Soniclear 15 unidades;29.14;https://www.drogaraia.com.br/copinho-descartavel-para-inalador-soniclear-666646.html
5060420231038;Bomba de Tirar Leite Elétrica Lansinoh  Single Compact;399.9;https://www.drogaraia.com.br/bomba-tira-leite-eletrica-single-compact-lansinoh-900570.html
7898610370087;Shampoo Haskell Cavalo Forte 500Ml;84.88;https://www.drogaraia.com.br/shampoo-haskell-cavalo-forte-500ml-636079.html
7898698361472;Femme Buckingham Parfum 25ml - Perfume Feminino;79.99;https://www.drogaraia.com.br/perfume-femme-buckingham-25ml-656566.html
7891317025205;Dixil Minoxidil 50mg/ml Solução Spray Capilar 50ml;59.39;https://www.drogaraia.com.br/dixil-50mg-ml-solucao-spray-50ml.html
7898955705049;Leite vegetal original a tal da castanha 1l;27.88;https://www.drogaraia.com.br/leite-vegetal-original-a-tal-da-castanha-1l-620379.html
7896086910974;HIDRATANTE CORPORAL AMêNDOAS MAHOGANY 350ML;59.5;https://www.drogaraia.com.br/hidratante-corporal-amendoas-mahogany-350ml-923079.html
980579;PERFUME CHANEL ALLURE HOMME SPORT 100 ML;1476.08;https://www.drogaraia.com.br/perfume-chanel-allure-homme-sport-100-ml-980579.html
1192119;KIT 10UN EQUIPO DE NUTRIçãO ENTERAL 2 VIAS FRESENIUS;22.14;https://www.drogaraia.com.br/kit-10un-equipo-de-nutricao-enteral-2-vias-fresenius-982586.html
3474636975358;Condicionador L'Oréal Professionnel Serie Expert Vitamino Color Preserva a Cor 750ml;243.9;https://www.drogaraia.com.br/l-oreal-professionnel-serie-expert-vitamino-color-condicionador-750ml-759199.html
7908885315376;KIT SHAMPOO+ CONDICIONADOR GOTA DOURADA FORTALECIMENTO QUEDA;44.9;https://www.drogaraia.com.br/kit-shampoo-condicionador-gota-dourada-fortalecimento-queda-1018862.html
8011003809219;Eros Versace Eau de Toilette 100ml - Perfume Masculino;511.9;https://www.drogaraia.com.br/perfume-versace-eros-edt-masculino-100ml-946837.html
824179;KIT SABONETE VEGETAL HERBISSIMO MENTOS C/5 UNIDADES 1 CADA FRAGRâNCIA;27.9;https://www.drogaraia.com.br/kit-sabonete-vegetal-herbissimo-mentos-c-5-unidades-1-cada-fragrancia-824179.html
7898130554431;MáSCARA PARA CíLIOS INCOLOR EXTEND LASHES VIVAI;23.47;https://www.drogaraia.com.br/mascara-para-cilios-incolor-extend-lashes-vivai-869777.html
7898589682716;Girl Star Parfum Brasil Eau de Toilette 15ml - Perfume Feminino;49.99;https://www.drogaraia.com.br/perfume-feminino-deo-colonia-parfum-absoluty-girl-star-15ml-903564.html
7898902624409;TIROCEPT GEL - RECEPTQUâNTIC - FLORAL PARA INSEGURANçA;99.0;https://www.drogaraia.com.br/tirocept-gel-receptquantic-floral-para-inseguranca-814445.html
