EAN;Produto;Preço (R$);Link
7892840808037;Gatorade Limão 500ml;7.29;https://www.drogal.com.br/gatorade-sabor-limao-500ml/p
7891317448745;Riss 2mg 30 Comprimidos;52.59;https://www.drogal.com.br/riss-2mg-30-comprimidos/p
7896085112201;Máscara Facial Térmica Termogel Beauty 1 Unidade;119.25;https://www.drogal.com.br/mascara-facial-termica-termogel-beauty-1-unidade/p
7891317192792;Sinot Clav 400mg + 57mg Suspensão Oral 70ml;158.19;https://www.drogal.com.br/sinot-clav-400mg-57mg-140ml/p
7896658039294;Aristab 15mg 60 Comprimidos;463.19;https://www.drogal.com.br/aristab-15mg-60-comprimidos/p
7897076907431;Aciclovir 400mg Ranbaxy 25 Comprimidos;109.39;https://www.drogal.com.br/aciclovir-400mg-ranbaxy-25-comprimidos/p
7891317017392;Cloridrato de Sertralina 100mg Eurofarma 30 Comprimidos Revestidos;39.99;https://www.drogal.com.br/cloridrato-de-sertralina-100mg-eurofarma-30-comprimidos-revestidos/p
7622201792077;Chocolate Milka Egg Ovo de Colher Creme e Oreo 4 Unidades;39.99;https://www.drogal.com.br/chocolate-milka-egg-ovo-de-colher-creme-e-oreo-4-unidades/p
7896112102519;Metronidazol 250mg Teuto 20 Comprimidos;12.19;https://www.drogal.com.br/metronidazol-250mg-teuto-20-comprimidos/p
3282770394047;Hidratante Facial Darrow Suavié Aquasensi Pele Sensível 40g;73.25;https://www.drogal.com.br/hidratante-facial-darrow-suavie-aquasensi-pele-sensivel-40g/p
7896512922472;Sabonete Líquido de Glicerina Refil Granado Bebê Lavanda 250ml;16.99;https://www.drogal.com.br/sabonete-liquido-de-glicerina-refil-granado-bebe-lavanda-250ml/p
7898949409762;Gel para Cicatrizes Cicatricure Rosto e Corpo 60g;47.89;https://www.drogal.com.br/gel-para-cicatrizes-cicatricure-rosto-e-corpo-60g/p
3600524057336;"Sérum Facial Antirrugas L&apos;Oréal Paris Revitalift Retinol Noturno 30ml";127.79;https://www.drogal.com.br/serum-facial-antirrugas-loreal-paris-revitalift-retinol-noturno-30ml/p
19508;Decongex Plus 4 Comprimidos Revestidos de Liberação Programada;10.19;https://www.drogal.com.br/decongex-plus-4-comprimidos-revestidos-de-liberacao-programada/p
7791293012087;Desodorante Antitranspirante Aerosol Dove Men+Care Cuidado Total 150ml;14.89;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-dove-mencare-cuidado-total-150ml/p
7898560665097;Thioctacid 600 HR 30 Comprimidos Revestidos;174.69;https://www.drogal.com.br/thioctacid-hr-600mg-30-comprimidos-revestidos/p
190679000064;Shampoo Herbal Essences Golden Óleo de Moringa 400ml;43.25;https://www.drogal.com.br/shampoo-herbal-essences-golden-oleo-de-moringa-400ml/p
7896714274799;Blumel Hedera 15mg/ml Xarope Pediátrico 100ml;35.19;https://www.drogal.com.br/blumel-hedera-15mgml-xarope-pediatrico-100ml/p
7896641813061;Mesacol 500mg 15 Supositórios;142.99;https://www.drogal.com.br/mesacol-500mg-15-supositorios/p
7897322709468;Addera D3 7.000ui 4 Comprimidos Revestidos;40.3;https://www.drogal.com.br/addera-d3-7000ui-4-comprimidos-revestidos/p
7622201792022;Chocolate Milka Egg Ovo de Colher Creme de Leite 4 Unidades;39.99;https://www.drogal.com.br/chocolate-milka-egg-ovo-de-colher-creme-de-leite-4-unidades/p
7891317464004;Noex 100mcg Suspensão em Spray Nasal 100 Doses;73.39;https://www.drogal.com.br/noex-100mcg-suspensao-em-spray-nasal-100-doses/p
7897705201893;Caneta Reutilizável Injetável para Aplicação de Insulina NovoPen 4 1 Unidade;199.89;https://www.drogal.com.br/caneta-reutilizavel-injetavel-para-aplicacao-de-insulina-novopen-4-1-unidade/p
7891350040036;Esmalte Cremoso Risqué Reinvente o Normal Padrãozinho pra Quem? 8ml;9.35;https://www.drogal.com.br/esmalte-cremoso-risque-padraozinho-pra-quem-8ml/p
7896422511865;Clonazepam 2,5mg Medley Solução Gotas 20ml;8.99;https://www.drogal.com.br/clonazepam-25mg-medley-solucao-gotas-20ml/p
7897129304583;Sérum Multifuncional Clareador TheraSkin Klassis Specialle 50g;95.79;https://www.drogal.com.br/serum-multifuncional-clareador-theraskin-klassis-specialle-50g/p
7897473207103;Dipropionato de Beclometasona 250mcg/200 Doses;51.49;https://www.drogal.com.br/dipropionatodebeclometasona250mcg200doses/p
7896714292229;Besilato de Levanlodipino 2,5mg Neo Química 60 Comprimidos;57.49;https://www.drogal.com.br/besilato-de-levanlodipino-25mg-neo-quimica-60-comprimidos/p
7898970092124;Creme Capilar de Proteína Vegana Hidratei S.H.R.P 50g;129.89;https://www.drogal.com.br/creme-capilar-de-proteina-vegana-hidratei-shrp-50g/p
8903855082493;Desduo 50mg 60 Comprimidos Revestidos de Liberação Prolongado;130.59;https://www.drogal.com.br/desduo-50mg-60-comprimidos-revestidos-de-liberacao-prolongado/p
7898929949653;Sabonete Líquido Sveda Orquídea 500ml;14.99;https://www.drogal.com.br/sabonete-liquido-sveda-orquidea-500ml/p
7896094207349;Stavigile 200mg 30 Comprimidos;281.99;https://www.drogal.com.br/stavigile-200mg-30-comprimidos/p
7897930760943;Tetralysal 150mg 16 Cápsulas;102.39;https://www.drogal.com.br/tetralysal-150mg-16-caps/p
7896004722122;Aceclofenaco 100mg EMS 12 Comprimidos Revestidos;12.99;https://www.drogal.com.br/aceclofenaco-100mg-ems-12-comprimidos-revestidos/p
63401;Esmalte para Unhas Fracas e Frágeis 8ml;14.87;https://www.drogal.com.br/esmalte-para-unhas-fracas-e-frageis-8ml/p
7896112402541;Vitamina D3 + Zinco 2.000 UI + 20mg Biolab 30 Cápsulas Gelatinosas Moles;29.69;https://www.drogal.com.br/vitamina-d3-zinco-2000-ui-20mg-30-capsulas-gelatinosas-moles-biolab/p
7896006290483;Maxinom 1mg/g + 5mg/g + 1mg/g pomada oftálmica bisnaga com 35g;32.69;https://www.drogal.com.br/maxinom-pom-35gr/p
7898747480055;Floral Therapi Tranquilito Kids Calma e Tranquilidade Gotas 30ml;29.9;https://www.drogal.com.br/floral-therapi-tranquilito-kids-gotas-30ml/p
7896422522823;Simeticona 40mg Medley 20 Comprimidos;9.59;https://www.drogal.com.br/simeticona-40mg-20-comprimidos-medley/p
7891025107842;Composto Lácteo Milnutri Premium 800g;68.99;https://www.drogal.com.br/composto-lacteo-milnutri-premium-800g/p
4006000019338;Desodorante Antitranspirante Aerossol Nivea Men Fresh Active 150ml;17.29;https://www.drogal.com.br/desodorante-antitranspirante-aerossol-nivea-men-fresh-active-150ml/p
7899706197502;"Creme para Pentear Nutritivo L&apos;Oréal Paris Elseve Cachos Longos dos Sonhos 250ml";24.99;https://www.drogal.com.br/creme-para-pentear-nutritivo-loreal-paris-elseve-cachos-longos-dos-sonhos-250ml/p
7896006212386;Creme Dermon sem Perfume 20g;37.79;https://www.drogal.com.br/dermon-creme-20g/p
7891350037449;Tintura Koleston Noites Iluminadas Preto Infinito 10;17.99;https://www.drogal.com.br/tintura-koleston-noites-iluminadas-preto-infinito-10/p
7894916513166;Bupium Xl 150mg 30 Comprimidos;95.69;https://www.drogal.com.br/bupium-xl-150mg-30-comprimidos/p
7899941202375;"Barra de Proteína Whey Bar Probiotica Creamy Sabor Cookies &amp; Cream 38g";7.25;https://www.drogal.com.br/barra-de-proteina-whey-bar-creamy-cookies-cream-38g/p
7891150043084;Kit Seda Ceramidas Shampoo 325ml + Condicionador 325ml;27.35;https://www.drogal.com.br/kit-seda-ceramidas-shampoo-325ml-condicionador-325ml/p
7891721027451;Glifage XR 750mg 30 Comprimidos de Liberação Prolongada;33.89;https://www.drogal.com.br/glifage-xr-750mg-30-comprimidos-de-liberacao-prolongada/p
7908079512024;Fixador Em Pó Para Prótese Dental Oralfix Sem Sabor 20g;14.99;https://www.drogal.com.br/fixador-em-po-para-protese-dental-oralfix-sem-sabor-20g/p
7896658034978;Solução Capilar Pant 50mg/ml Refil 50ml;57.69;https://www.drogal.com.br/solucao-capilar-pant-50mgml-refil-50ml/p
7891058000165;Analgésico e Antitérmico Novalgina 500mg/ml Gotas 20ml;29.09;https://www.drogal.com.br/analgesico-e-antitermico-novalgina-500mg-ml-gotas-20ml/p
9786526107300;Livro Sonic Aquarela Cores e Aventura 1 Unidade;9.99;https://www.drogal.com.br/livro-sonic-aquarela-cores-e-aventura-1-unidade/p
3282770206951;Protetor Solar Avène Toque Seco FPS70 Emulsão 40g;77.99;https://www.drogal.com.br/protetor-solar-avene-toque-seco-fps70-emulsao-40g/p
7897930763005;Sabonete Líquido Dermotivin Salix 300ml;90.49;https://www.drogal.com.br/sabonete-liquido-dermotivin-salix-300ml/p
7896523200118;Valsartana 160mg Cimed 30 Comprimidos;37.49;https://www.drogal.com.br/valsartana-160mg-cimed-30-comprimidos/p
7891142983336;Shampoo Antiqueda Urby Men 200ml;69.59;https://www.drogal.com.br/shampoo-antiqueda-urby-men-200ml/p
7896331708110;Kit Suplemento Alimentar Calcio Dex 2 Unidades 60 Cápsulas;58.89;https://www.drogal.com.br/calciodex-500-mg-kit-2-potes-com-60-capsulas-cada/p
7897411650558;Desventag 50mg 30 Comprimidos Revestidos de Liberação Prolongada;100.19;https://www.drogal.com.br/desventag-50mg-30-comprimidos-revestidos-de-liberacao-prolongada/p
7891010030452;"Condicionador Johnson&apos;s Baby Regular 200ml";19.99;https://www.drogal.com.br/condicionador-johnsons-baby-regular-200ml/p
7899838888996;Bicos De Mamadeira Fisher Price Fluxo Rápido 2 Unidades;14.95;https://www.drogal.com.br/bicos-de-mamadeira-fisher-price-fluxo-rapido-2-unidades/p
7899026420571;Condicionador Elseve Reparação Total 5+ 200ml;21.95;https://www.drogal.com.br/cond-elseve-200ml-repar-tota5/p
7898560666933;Geodon 80mg 30 Cápsulas;972.48;https://www.drogal.com.br/geodon-80mg-30-capsulas/p
7908079514646;Lenços Demaquilantes Sveda Care Limpa e Hidrata 30 Unidades;5.99;https://www.drogal.com.br/lencos-demaquilantes-sveda-care-limpa-e-hidrata-30-unidades/p
7896007550463;Protetor Diário Intimus Tecnologia Antibacteriana 15 Unidades;5.55;https://www.drogal.com.br/protetor-diario-intimus-tecnologia-antibacteriano-15-unidades/p
7896004775029;Passare 900mg + 100mg 30 Comprimidos Revestidos;124.34;https://www.drogal.com.br/passare-900mg-100mg-30-comprimidos-revestidos/p
7898216363834;Suplemento Alimentar Agil C-Kids Sabor Laranja 25 Pastilhas de Goma;20.09;https://www.drogal.com.br/suplemento-alimentar-agil-c-kids-sabor-laranja-25-pastilhas-de-goma/p
7899095203532;Cisteil 20mg/ml Xarope Solução Oral Sabor Framboesa 120ml + 1 Copo Dosador;22.09;https://www.drogal.com.br/cisteil-20mgml-120ml/p
7892953002933;Creme Antiestrias Luciara 200ml;59.05;https://www.drogal.com.br/creme-antiestrias-luciara-200ml/p
7894164007356;Fluive C Imuno Sabor Laranja 10 Comprimidos Efervescentes;20.69;https://www.drogal.com.br/fluive-c-imuno-sabor-laranja-10-comprimidos-efervescentes/p
7898157301322;Muleta Canadense Fixa Medicate MD130 Preta;73.29;https://www.drogal.com.br/muleta-canadense-fixa-medicate-md130-preta/p
7898968269552;Bastão 3 em 1 Ollie Blush, Batom e Sombra FPS95 Cor Rosa Malva 4,5g;98.99;https://www.drogal.com.br/bastao-3-em-1-ollie-blush-batom-e-sombra-fps95-cor-rosa-malva-45g/p
3282770391466;Gel De Limpeza Darrow Actine Control 400ml;91.89;https://www.drogal.com.br/sabonete-liquido-darrow-actine-control-400ml/p
7897595635570;Razapina 30mg 60 Comprimidos Revestidos;249.89;https://www.drogal.com.br/razapina-30mg-60-comprimidos-revestidos/p
7896714290843;Rivaroxabana 20mg Neo Química 30 Comprimidos Revestidos;52.35;https://www.drogal.com.br/rivaroxabana-20mg-neo-quimica-30-comprimidos-revestidos/p
7898636194063;Sérum Antimarcas Cicatricure Porcelana Peeling Facial 30ml;68.65;https://www.drogal.com.br/serum-antimarcas-cicatricure-porcelana-peeling-facial-30ml/p
7908079501530;Suplemento Alimentar Crono Cálcio 60 Comprimidos;42.98;https://www.drogal.com.br/crono-calcio-60-comprimidos/p
7908079515407;Alfajor Cooper Energy Sabor Leite em Pó 55g;9.99;https://www.drogal.com.br/alfajor-cooper-energy-sabor-leite-em-po-55g/p
7896004726151;Tobramicina 3mg/ml Germed Solução Oftálmica 5ml;19.89;https://www.drogal.com.br/tobramicina-3mgml-germed-solucao-oftalmica-5ml/p
7894916996839;Prurok 2,22 mg/ml Solução Oftálmica 2,5ml;59.66;https://www.drogal.com.br/prurok-222-mg-ml-solucao-oftalmica-25ml/p
7908079504517;Glicerina Vegetal Nexter 90g;9.75;https://www.drogal.com.br/glicerina-vegetal-nexter-90g/p
7896641813634;Juneve 50mg 28 Cápsulas Gelatinosas Duras;423.55;https://www.drogal.com.br/juneve-50mg-28-capsulas-gelatinosas-duras/p
7896658015427;Trezor 20mg 30 Comprimidos Revestidos;59.39;https://www.drogal.com.br/trezor-20mg-30-comprimidos-revestidos/p
7891350041903;Esmalte Metálico Risqué Meu Horóscopo do Dia 8ml;6.49;https://www.drogal.com.br/esm-risque-metalico-meu-horoscopo-do-dia-8ml/p
7896004731568;Oxalato de Escitalopram 10mg EMS 30 Comprimidos Revestidos;20.09;https://www.drogal.com.br/oxalato-de-escitalopram-10mg-ems-30-comprimidos-revestidos/p
7898687730289;Cloridrato de Metilfenidato 10mg Althaia 30 Comprimidos;29.39;https://www.drogal.com.br/cloridrato-de-metilfenidato-10mg-althaia-30-comprimidos/p
63387;Creme Hidratante para as Mãos 30g;5.86;https://www.drogal.com.br/creme-hidratante-para-as-maos-30g/p
7891142205735;Protetor Solar Facial Episol Smart Color Uniformizador FPS50 40ml;89.59;https://www.drogal.com.br/protetor-solar-facial-episol-smart-color-uniformizador-fps50-40ml/p
7891182810203;Esmalte Cremoso Risqué Gabriela 8ml;6.49;https://www.drogal.com.br/esmalte-cremoso-risque-gabriela-8ml/p
7891033822317;Protetor Solar Facial Antipoluição Australian Gold Toque Seco FPS70 50g;71.99;https://www.drogal.com.br/protetor-solar-facial-antipoluicao-australian-gold-toque-seco-fps70-50g/p
7891142207388;Suplemento Alimentar Addera Imunidade + Kids 600 U.I Sabor Uva 75ml + Seringa de Girafa;89.9;https://www.drogal.com.br/addera-imunidade-kids-600ui-uva-75ml/p
7891058006716;Allegra D 60mg + 120mg 10 Comprimidos Revestidos de Camada Dupla;58.29;https://www.drogal.com.br/allegra-d-60mg-120mg-10-comprimidos-revestidos-de-camada-dupla/p
7896472521814;Cloridrato de Fexofenadina 6mg/ml Nova Química Suspensão Oral Sabor Franboesa 150ml + 1 Seringa Dosadora;36.89;https://www.drogal.com.br/cloridrato-de-fexofenadina-6mg-ml-nova-quimica-suspensao-oral-sabor-franboesa-150ml--1-seringa-dosadora/p
7896026171298;Creme Allevia Relaxante Para Pernas e Pés 200g;68.39;https://www.drogal.com.br/creme-allevia-relaxante-para-pernas-e-pes-200g/p
7898100242955;Glicel 2,5g 6 Supositórios de Uso Adulto;11.69;https://www.drogal.com.br/glicel-25g-6-supositorios-de-uso-adulto/p
7898040320973;Abrilar 7mg/ml Xarope 100ml + Copo Medidor;42.69;https://www.drogal.com.br/abrilar-7mg-ml-xarope-100ml--copo-medidor/p
7897460401422;Silimalon 70mg + 100mg 30 Comprimidos Revestidos;75.19;https://www.drogal.com.br/silimalon-30-comprimidos-revestidos/p
7896070600201;Amplictil 40mg Solução Oral Gotas 20ml;10.79;https://www.drogal.com.br/amplictil-40mg-solucao-oral-gotas-20ml/p
7896183313821;Sabonete Natural em Barra Giorno Bagno Flor de Laranjeira e Vetiver 3 Unidades;40.29;https://www.drogal.com.br/sabonete-natural-em-barra-giorno-bagno-flor-de-laranjeira-e-vetiver-3-unidades/p
4005900429643;"Desodorante Antitranspirante Aerosol Nivea Invisible Black &amp; White Fresh 150ml";17.29;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-black-white-fresh-150ml/p
4005900646491;Protetor Solar Facial Nivea UV Face Q10 Anti-Idade FPS60 50ml;69.75;https://www.drogal.com.br/protetor-solar-facial-nivea-beauty-expert-pele-normal-a-seca-fps60-50g/p
3282770393965;Creme Nutritivo Corporal Nutriol Intensivo 400g;76.25;https://www.drogal.com.br/creme-nutritivo-corporal-nutriol-intensivo-400g/p
7896004734354;Cloridrato de Moxifloxacino 400mg EMS 5 Comprimidos Revestidos;51.49;https://www.drogal.com.br/cloridrato-de-moxifloxacino-400mg-5-comprimidos-revestidos-ems/p
7908458321377;Óleo de Tratamento Capilar Salon Line SOS Cachos Super Óleos Nutrição Extraordinária 42ml;15.85;https://www.drogal.com.br/oleo-de-tratamento-capilar-salon-line-sos-cachos-super-oleos-nutricao-extraordinaria-42ml/p
7896548113479;Claril Solução Oftálmica Estéril 15ml;24.19;https://www.drogal.com.br/claril-solucao-oftalmica-esteril-15ml/p
7891098042187;Chá Vitaminico Leão Açaí + Guaraná 10 Sachês 20g;12.49;https://www.drogal.com.br/cha-vitaminico-leao-acai-guarana-10-saches-20g/p
7896658018787;Bravan HCT 160mg + 25mg 30 Comprimidos Revestidos;77.09;https://www.drogal.com.br/bravan-hct-160mg-25mg-30-comprimidos-revestidos/p
7896658046513;Totti SL 10mg 20 Comprimidos Sublinguais;37.19;https://www.drogal.com.br/totti-sl-10mg-20-comprimidos-sublinguais/p
7891058005535;Stilnox 12,5mg 28 Comprimidos de Liberação Prolongada;138.19;https://www.drogal.com.br/stilnox-125mg-28-comprimidos-de-liberacao-prolongada/p
7908079501301;Pomada Assadura Kind Baby 46g;6.45;https://www.drogal.com.br/pomadaassadurakindbaby46g/p
7891000319543;Cereal Infantil Mucilon Arroz e Aveia 180g;9.99;https://www.drogal.com.br/cereal-infantil-mucilon-arroz-e-aveia-180g/p
7899838832845;Inalador Compressor Neb Plus Multilaser HC110 Bivolt;137.29;https://www.drogal.com.br/inalador-compressor-neb-plus-bivolt-multilaser-hc110/p
7908236800865;Zoloft 100mg 30 Comprimidos Revestidos;257.29;https://www.drogal.com.br/zoloft-100mg-30-comprimidos-revestidos/p
7891317019068;Olsar H 20mg 30 Comprimidos;45.29;https://www.drogal.com.br/olsar-h-20mg-30-comprimidos/p
7897411650787;Benicar ODT 20mg 30 Comprimidos Orodispersíveis;67.54;https://www.drogal.com.br/benicar-odt-20mg-30-comprimidos-orodispersiveis/p
7896004723587;Domperidona 10mg 30 comprimidos - Germed;11.99;https://www.drogal.com.br/domperidona-10mg-30-comprimidos-germed/p
7896637035361;Meclin Move 5 Comprimidos;10.3;https://www.drogal.com.br/meclin-move-5-comprimidos/p
7894916509084;Brasart HCT 320mg + 12,5mg 30 Comprimidos Revestidos;88.09;https://www.drogal.com.br/brasart-hct-320mg-125mg-30-comprimidos-revestidos/p
7898687730678;Suplemento Alimentar Equaliv Cartliv Ultra MDK 60 Cápsulas;155.89;https://www.drogal.com.br/suplemento-alimentar-equaliv-cartliv-ultra-mdk-60-capsulas/p
7891150083615;Condicionador Seda Juntinhos Moana Cachos Encantados 300ml;14.89;https://www.drogal.com.br/condicionador-seda-juntinhos-moana-cachos-encantados-300ml/p
7896663300730;Suplemento Alimentar Guaraflora 30 Cápsulas;32.25;https://www.drogal.com.br/suplemento-alimentar-guaraflora-30-capsulas/p
7896671620028;Shampoo Flores e Vegetais Jaborandi e Arnica 310ml;25.39;https://www.drogal.com.br/shampoo-flores-e-vegetais-jaborandi-e-arnica-310ml/p
7896044999942;Sabonete Vegetal Em Barra Giovanna Baby Candy 90g;4.49;https://www.drogal.com.br/sabonete-vegetal-em-barra-giovanna-baby-candy-90g/p
7894222040769;Esmalte Cremoso Dailus Snowland Snow Angel 8ml;7.99;https://www.drogal.com.br/esmalte-cremoso-dailus-snowland-snow-angel-8ml/p
7898149189648;Kit Cuidados Multikids Baby Tesoura + Cortador Azul;19.09;https://www.drogal.com.br/kit-cuidados-multikids-baby-tesoura-cortador-azul/p
7896094201378;Libiam 1,25mg 28 Comprimidos;59.19;https://www.drogal.com.br/libiam-125mg-28-comprimidos/p
7896714229843;Tartarato de Brimonidina 2mg/ml Neo Química Solução Oftálmica 5ml;42.26;https://www.drogal.com.br/tartarato-de-brimonidina-10mg-neo-quimica-frasco-gotejador-5ml-solucao-oftalmica/p
7891058021702;Suplemento Alimentar Targifor Imunidade A-Z 60 Cápsulas;88.99;https://www.drogal.com.br/suplemento-alimentar-targifor-imunidade-a-z-60-capsulas/p
7891158000317;Depakene 300mg 25 Comprimidos Revestidos de Liberação Entérica;37.59;https://www.drogal.com.br/depakene-300mg-25-comprimidos-revestidos-de-liberacao-enterica/p
7896422501675;Tadalafila 20mg Medley 2 Comprimidos Revestidos;11.99;https://www.drogal.com.br/tadalafila-20mg-medley-2-comprimidos-revestidos/p
7896230304536;Soro Fisiológico ADV Farma Dose Única 10 Unidades 5ml Cada;17.09;https://www.drogal.com.br/soro-fisiologico-adv-farma-dose-unica-10-unidades-5ml-cada/p
7500435118514;Creme para Pentear Crespo Hidra-vitaminado Pantene 240g;20.69;https://www.drogal.com.br/cr-pt-pantene-240ml-cach-hid-v/p
7896382703331;Humalog Lispro 100 UI/ml Solução Injetável 2 Refis 3ml;105.16;https://www.drogal.com.br/humalog-lispro-100-ui-ml-solucao-injetavel-2-refis-3ml/p
7898569765194;Vitamina D 50.000ui Althaia 8 Cápsulas;71.14;https://www.drogal.com.br/vitamina-d-50000ui-althaia-8-capsulas/p
7891150090989;Sabonete em Barra Glicerinado Lux Botanicals Essências do Brasil Bromélia 100g;3.99;https://www.drogal.com.br/sabonete-em-barra-glicerinado-lux-botanicals-essencias-do-brasil-bromelia-100g/p
7898099063173;Doce de Leite Pingo de Ouro Iceali Tradicional 20g;3.09;https://www.drogal.com.br/doce-de-leite-pingo-de-ouro-iceali-tradicional-20g/p
7500435173100;Creme para Depilação Gillette Venus Suavidade e Maciez 150ml;33.15;https://www.drogal.com.br/creme-para-depilacao-gillette-venus-suavidade-e-maciez-150ml/p
7896181900740;Busonid Caps 200mcg Refil 60 Cápsulas Para Inalação;49.09;https://www.drogal.com.br/busonid-caps-200mcg-refil-60-capsulas-para-inalacao/p
7506309865393;"Shampoo Anticaspa Head&amp;Shoulders Men 3 em 1 200ml";17.99;https://www.drogal.com.br/shampoo-cuidados-com-a-raiz-headshoulders-men-3-em-1-200ml/p
7896637037662;Suplemento Alimentar Floracol Pediátrico 30 Sachês;164.55;https://www.drogal.com.br/suplemento-alimentar-floracol-pediatrico-30-saches/p
7896004703565;Dexametasona 1mg/ml EMS 120ml;12.09;https://www.drogal.com.br/dexametasona-1mg-ml-ems-120ml/p
7908079514929;Suplemento Alimentar Prodiz Melatonina 210mcg Gotas 30ml;35.87;https://www.drogal.com.br/suplemento-alimentar-prodiz-melatonina-210mcg-gotas-30ml/p
7896004775494;Lipiblock 120mg 42 Cápsulas Duras;223.01;https://www.drogal.com.br/lipiblock-120mg-42-cpr/p
7896658035685;Lutab 80mg 30 Comprimidos Revestidos;481.07;https://www.drogal.com.br/lutab-80mg-30-comprimidos-revestidos/p
7896714292151;Laxante Fitoterápico Naturetti Geleia 130g;77.99;https://www.drogal.com.br/naturetti-geleia-130g/p
7896226109930;Suplemento Alimentar Caldê Max 2.000 UI 30 Comprimidos;185.39;https://www.drogal.com.br/suplemento-alimentar-calde-max-30-comprimidos-revestidos/p
