EAN;Produto;Preço (R$);Link
7898583665234;FTW CREATINA 300G;78.3;https://www.drogaven.com.br/ftw-creatina-300g/p
7898947170183;Luva Cirúrgica Estéril de Látex Medix Brasil nº 7,5, com pó, 1 par;5.72;https://www.drogaven.com.br/luva-cirurgica-esteril-75-1par-medix/p
7898306210017;Espaçador Inal-Air Infantil e Adulto sortido;48.9;https://www.drogaven.com.br/espacador-inal-air-aluminio-adtinf-acima3anos/p
7896007548378;Fralda Descartável Huggies Supreme Care Disney Baby G, pacote com 20 unidades;40.08;https://www.drogaven.com.br/fralda-descartavel-huggies-supreme-care-disney-baby-g-pacote-com-20-unidades/p
7896112403319;Loção Hidratante Corporal Biolab Hidra kids 200g;139.6;https://www.drogaven.com.br/locao-hidratante-corporal-biolab-hidra-kids-200g/p
7891010254957;Hidratante Intensivo Neutrogena Norwegian sem fragância 200mL;54.75;https://www.drogaven.com.br/hidratante-intensivo-neutrogena-norwegian-sem-fragancia-200ml/p
7897947619500;CREME ASSADURAS JOAO E MARIA 40G;10.77;https://www.drogaven.com.br/creme-assaduras-joao-e-maria-40g/p
7899420508080;Prós 2mg, 30 comprimidos;38.75;https://www.drogaven.com.br/pros-2mg-30-comprimidos/p
7909883031411;CREME BARBEAR NATURA HOMEM ESSENCE 75ML;45.47;https://www.drogaven.com.br/creme-barbear-natura-homem-essence-75ml/p
7896212468898;Pantelmin 20mg/mL, frasco com 30mL de suspensão de uso oral;18.61;https://www.drogaven.com.br/pantelmin-30ml/p
7898430194238;Mecobe 1000mcg, 30 comprimidos sublinguais;30.28;https://www.drogaven.com.br/mecobe-1000mcg-30-comprimidos-sublinguais/p
7896036521717;Mamadeira Neopan Decorada 6+ meses, sem alça, azul com capacidade de 70mL;24.26;https://www.drogaven.com.br/mamadeira-neopan-decorada-6-meses-sem-alca-azul-com-capacidade-de-70ml/p
7896658020995;Motore 250mg, caixa contendo 120 cápsulas;253.98;https://www.drogaven.com.br/motore-250mg-caixa-contendo-120-capsulas/p
7896094926592;Vabam 10mg, 30 comprimidos revestidos;180.24;https://www.drogaven.com.br/vabam-10mg-30-comprimidos-revestidos/p
7896658026508;Resist 500mg, caixa contendo 90 cápsulas;174.55;https://www.drogaven.com.br/resist-500mg-caixa-contendo-90-capsulas/p
7899824401536;Intoliv Arese 30 Comprimidos;111.94;https://www.drogaven.com.br/intoliv-arese-30-comprimidos/p
