EAN;Menor preço (R$);Origem;Produto;Link
7898949409762;47.89;Drogal;Gel para Cicatrizes Cicatricure Rosto e Corpo 60g;https://www.drogal.com.br/gel-para-cicatrizes-cicatricure-rosto-e-corpo-60g/p
7791293012087;14.89;Drogal;Desodorante Antitranspirante Aerosol Dove Men+Care Cuidado Total 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-dove-mencare-cuidado-total-150ml/p
7891350040036;9.35;Drogal;Esmalte Cremoso Risqué Reinvente o Normal Padrãozinho pra Quem? 8ml;https://www.drogal.com.br/esmalte-cremoso-risque-padraozinho-pra-quem-8ml/p
7899706197502;23.27;DrogaRaia;CREME PARA PENTEAR LEAVE IN ELSEVE CACHOS SONHOS 250ML;https://www.drogaraia.com.br/creme-para-pentear-leave-in-elseve-cachos-sonhos-250ml-740216.html
7897930763005;90.49;Drogal;Sabonete Líquido Dermotivin Salix 300ml;https://www.drogal.com.br/sabonete-liquido-dermotivin-salix-300ml/p
7899026420571;18.52;Drogaven;Condicionador Elseve Reparação Total 5+ 200mL;https://www.drogaven.com.br/condicionador-elseve-reparacao-total-5-200ml/p
7896007550463;5.55;Drogal;Protetor Diário Intimus Tecnologia Antibacteriana 15 Unidades;https://www.drogal.com.br/protetor-diario-intimus-tecnologia-antibacteriano-15-unidades/p
3282770391466;91.89;Drogal;Gel De Limpeza Darrow Actine Control 400ml;https://www.drogal.com.br/sabonete-liquido-darrow-actine-control-400ml/p
4005900429643;17.29;Drogal;"Desodorante Antitranspirante Aerosol Nivea Invisible Black &amp; White Fresh 150ml";https://www.drogal.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-black-white-fresh-150ml/p
7891150083615;14.89;Drogal;Condicionador Seda Juntinhos Moana Cachos Encantados 300ml;https://www.drogal.com.br/condicionador-seda-juntinhos-moana-cachos-encantados-300ml/p
7506309865393;17.99;Drogal;"Shampoo Anticaspa Head&amp;Shoulders Men 3 em 1 200ml";https://www.drogal.com.br/shampoo-cuidados-com-a-raiz-headshoulders-men-3-em-1-200ml/p
7891033070664;41.99;Drogal;Condicionador Eudora Siàge Cica-Therapy 200ml;https://www.drogal.com.br/condicionador-siage-cica-therapy-200ml/p
8429420079632;88.75;Drogal;Protetor Solar Corporal Isdin Fotoprotector Gel Creme FPS50 198g;https://www.drogal.com.br/protetor-solar-corporal-isdin-fotoprotector-gel-creme-fps50-198g/p
7896082900054;16.39;Drogal;Sabonete Barra Acnase Ação Antisséptica 110g;https://www.drogal.com.br/sabonete-barra-acnase-acao-antisseptica-110g/p
7896523221724;22.99;Drogal;Gel Lubrificante Íntimo K-Med 100g;https://www.drogal.com.br/gel-lubrificante-intimo-k-med-100g/p
7898549756617;17.39;Drogal;Sabonete Barra Acnase Ação Esfoliante 80g;https://www.drogal.com.br/sabonete-barra-acnase-acao-esfoliante-80g/p
7791293033266;14.89;Drogal;Desodorante Antitranspirante Aerosol Dove Go Fresh Romã e Verbena 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-dove-go-fresh-roma-e-verbena-150ml/p
7891150093256;19.99;Drogal;Kit Dove Nutrição + Fusão de Óleos Shampoo 350ml + Condicionador 175ml;https://www.drogal.com.br/kit-dove-nutricao--fusao-de-oleos-shampoo-350ml--condicionador-175ml/p
7891150054462;8.89;Drogal;Shampoo Dove Hidratação 200ml;https://www.drogal.com.br/shampoo-dove-hidratacao-200ml/p
7898422746759;4.99;Drogal;Sabonete em Barra Dove Original 90g;https://www.drogal.com.br/sabonete-em-barra-dove-original-90g/p
7898079001386;36.65;Drogal;Preservativo Prudence Super Sensitive 12 Unidades;https://www.drogal.com.br/preservativo-prudence-super-sensitive-12-unidades/p
7896699019989;40.35;Drogal;Bomba Manual Tira Leite Lolly 70ml;https://www.drogal.com.br/bomba-tira-leite-lolly-70ml/p
7891150081314;22.44;Drogaven;Desodorante Antitranspirante Rexona Men V8 aerossol 250mL;https://www.drogaven.com.br/desodorante-antitranspirante-rexona-men-v8-aerossol-250ml/p
7898079000235;22.29;Drogal;Preservativo Prudence Neon 3 unidades;https://www.drogal.com.br/preservativoprudenceneon3unidades/p
7891350045253;8.15;Drogal;Esmalte Cremoso Risqué Manicores Um Dia Amadureço 8ml;https://www.drogal.com.br/esmalte-cremoso-risque-manicores-um-dia-amadureco-8ml/p
7612412396003;36.25;Drogal;Escova Dental Curaprox 3960 Super Soft;https://www.drogal.com.br/escova-dental-curaprox-3960-super-soft/p
7891024174135;16.85;Drogal;Shampoo Palmolive Naturals Kids Todo Tipo de Cabelo 350ml;https://www.drogal.com.br/shampoo-palmolive-naturals-kids-todo-tipo-de-cabelo-350ml/p
7898623952393;16.65;Drogal;Condicionador Salon Line Meu Liso Muito + Liso 300ml;https://www.drogal.com.br/condicionador-salon-line-meu-liso-amido-de-milho-300ml/p
7896094208537;103.57;DrogaRaia;LIBBS FILTRUM ULTRA SECO PELE OLEOSA FPS30 60G;https://www.drogaraia.com.br/libbs-filtrum-ultra-seco-pele-oleosa-fps30-60g-687355.html
7899026408340;18.99;DrogaRaia;ESMALTE COLORAMA CREMOSO GABRIELE 8ML;https://www.drogaraia.com.br/esmalte-colorama-cremoso-gabriele-8ml-1014356.html
7500435127240;5.25;DrogaRaia;Absorvente Always Suave P com Abas 8 unidades;https://www.drogaraia.com.br/always-absorvente-super-proteo-suave-com-abas-8-unidades.html
7898610370087;84.88;DrogaRaia;Shampoo Haskell Cavalo Forte 500Ml;https://www.drogaraia.com.br/shampoo-haskell-cavalo-forte-500ml-636079.html
7898623956711;23.99;DrogaRaia;Kit Salon Line Hidra Ceramidas Shampoo 300ml + Condicionador 300ml;https://www.drogaraia.com.br/kit-shampoo-condicionador-salon-line-hidra-ceramidas.html
7896235354215;20.15;DrogaRaia;Desodorante Antitranspirante Aerosol Monange Clinical Conforto Feminino 96H 150Ml;https://www.drogaraia.com.br/desodorante-aerosol-antitranspirante-feminino-monange-clinical-conforto-150ml-643946.html
7506306214972;23.61;DrogaRaia;Desodorante Antitranspirante Aerosol Rexona Men Clinical Clean 96h 150ml;https://www.drogaraia.com.br/antitranspirante-aerosol-rexona-men-clinical-clean-150ml-895580.html
7899706171601;40.38;Drogaven;Hidratante Facial L'Oréal Revitalift Hialurônico Diurno FPS 20 com 50mL;https://www.drogaven.com.br/hidratante-facial-loreal-revitalift-hialuronico-diurno-fps-20-com-50ml/p
7896007549269;69.48;Drogaven;Fralda Descartável Huggies Tripla Proteção Hiper G 78 Unidades;https://www.drogaven.com.br/fralda-descartavel-huggies-disney-baby-tripla-protecao-g-pacote-com-78-unidades/p
7896015591007;14.83;Drogaven;Creme Fixador de Dentadura Corega Ultra sem sabor 8,5g;https://www.drogaven.com.br/creme-fixador-de-dentadura-corega-ultra-sem-sabor-85g/p
7896222720009;12.64;Drogaven;Preservativo Jontex sensitive, pacote com 3 unidades;https://www.drogaven.com.br/preservativo-jontex-sensitive-pacote-com-3-unidades/p
7896902204942;30.14;Drogaven;PROTETOR SOLAR SUNLESS FACIAL FPS50 BASE BEGE CLARO 60G;https://www.drogaven.com.br/protetor-solar-sunless-facial-fps50-base-bege-claro-60g/p
