EAN;Produto;Preço (R$);Link
7896114312992;Passa Fio Bitufo 30 Unidades;13.23;https://www.drogaven.com.br/passa-fio-bitufo-30-unidades/p
7899706111829;Protetor Solar Facial Antioleosidade La Roche-Posay Anthelios Airlicium FPS 30, sem cor 50g;78.3;https://www.drogaven.com.br/protetor-solar-facial-antioleosidade-la-roche-posay-anthelios-airlicium-fps-30-sem-cor-50g/p
7896422528726;Zinpass 10mg, 60 comprimidos revestidos;109.06;https://www.drogaven.com.br/zinpass-10mg-60-comprimidos-revestidos/p
7898411819884;BOTA IMOBILIZADORA TAKECARE LONGA G;136.71;https://www.drogaven.com.br/bota-imobilizadora-takecare-longa-g/p
7898529515890;PONTEIRA GEL LADY FEET OURO ORTHOPAUHER;43.02;https://www.drogaven.com.br/ponteira-gel-lady-feet-ouro-orthopauher/p
7891150095830;Sérum Hidratante Corporal Dove Hialurônico + Dermo Renovador 380ml;33.8;https://www.drogaven.com.br/serum-corporal-dove-hialuronico-dermo-renovador-380ml/p
7908228805861;Bala Gelatina Fini Harry Potter Raio 70g;6.85;https://www.drogaven.com.br/bala-fini-tradicional-harry-potter-raio/p
7898411811031;FAIXA TORACICA TAKECARE P 15CM;46.94;https://www.drogaven.com.br/faixa-toracica-takecare-p-15cm/p
7896044600268;Creme Desodorante Minancora Alívio para os Pés 80g;18.12;https://www.drogaven.com.br/creme-desodorante-minancora-alivio-para-os-pes-80g/p
7891158105371;Sof D Go 1000UI, uva, caixa com 60 comprimidos orodispersíveis;56.74;https://www.drogaven.com.br/sof-d-go-1000-ui-60cpr-orodisp/p
7896658029516;Inelatte Achevita Zero Chocolate, 60 Tabletes;134.3;https://www.drogaven.com.br/inelatte-achevita-zero-chocolate-60-tabletes/p
7500435250191;FRALDA PAMPERS SUPER SEQUINHA XXG 50UN;64.58;https://www.drogaven.com.br/fralda-pampers-super-sequinha-xxg-50un/p
0609963220694;Protetor Solar Facial Principia 18% Mix de Filtros UV + 5% Niacinamida FPS60 PS-01 40ml;43.12;https://www.drogaven.com.br/principia-protetor-solar-mix-de-filtros-uv-fps-60-40ml-ps-01/p
7896342450398;TORNOZELEIRA MERCUR SPORT PRETA G 1UNIDADE;39.19;https://www.drogaven.com.br/tornozeleira-mercur-sport-preta-g-1unidade/p
7897655401398;Zetalerg Comprimido 10mg, caixa com 6 comprimidos revestidos;28.97;https://www.drogaven.com.br/zetalerg-6cpr/p
7509546055169;Escova Dental Colgate 360º Luminous White macia, sortida com 2 unidades;32.04;https://www.drogaven.com.br/escova-dental-colgate-360o-luminous-white-macia-sortida-com-2-unidades/p
7891317013844;Algie 150mg, 10 comprimidos de liberação prolongada;48.88;https://www.drogaven.com.br/algie-150mg-10-comprimidos-de-liberacao-prolongada/p
7898903991531;PRESERVATIVOS RILEX LUBRIFICADO 3UN UVA...;3.91;https://www.drogaven.com.br/preservativos-rilex-lubrificado-3un-uva/p
7898133134234;IBUPROTRAT GTS 30ML 50MG/ML IBUPROFENO;8.12;https://www.drogaven.com.br/ibuprotrat-gts-30ml-50mgml-ibuprofeno/p
7897129304484;Sérum Clareador Facial Theraskin Klassis TX+ 30g;165.61;https://www.drogaven.com.br/serum-clareador-facial-theraskin-klassis-tx-30g/p
7898270151682;Meia 3/4 Sigvaris Select Comfort Premium 20-30mmHg G, longo, ponteira aberta, natural escuro;241.28;https://www.drogaven.com.br/meia-34-sigvaris-select-comfort-premium-20-30mmhg-g-longo-ponteira-aberta-natural-escuro/p
7896000724953;Tintura Cor & Ton Mega Colors nº 1.100 preto onix;14.1;https://www.drogaven.com.br/tintura-cor-ton-mega-colors-no-1100-preto-onix/p
