EAN;Menor preço (R$);Origem;Produto;Link
7898040328788;24.89;DROGAL;Protetor Solar Facial Imecap Actsun FPS60 Cor Média 50g;https://www.drogal.com.br/protetor-solar-facial-imecap-actsun-fps60-cor-media-50g/p
7898717929645;8.99;DROGAL;Ovo Toys Patrulha Canina 1 Unidade;https://www.drogal.com.br/ovo-toys-patrulha-canina-1-unidade/p
7899026425958;7.25;DROGAL;Esmalte Colorama Cremoso Melancia 8ml;https://www.drogal.com.br/esm-col-crem-melancia/p
7896004782249;48.09;DROGAL;Dienogeste 2mg Germed 30 Comprimidos;https://www.drogal.com.br/dienogeste-2mg-germed-30-comprimidos/p
070942122863;24.99;DROGAL;Palito Interdental G.U.M. Soft Picks Original 40 Unidades;https://www.drogal.com.br/palito-interdental-gum-soft-picks-original-40-unidades/p
7892840822385;6.55;DROGAL;Salgadinho Doritos Queijo Nacho 32g;https://www.drogal.com.br/salgadinho-doritos-queijo-nacho-32g/p
7896658048166;191.89;DROGAL;Aquarela 1mg/ml Suspensão Oral 150ml + Seringa Dosadora;https://www.drogal.com.br/aquarela-1mg-ml-suspensao-oral-150ml-seringa-dosadora/p
7898734800064;157.29;DROGAL;Hialugen 60 Comprimidos Revestidos;https://www.drogal.com.br/hialugen-60-comprimidos-revestidos/p
7894222010731;7.99;DROGAL;Esmalte Cremoso Dailus Queridinhos Rosa Açaí 8ml;https://www.drogal.com.br/esmalte-cremoso-dailus-queridinhos-rosa-acai-8ml/p
5012909005647;158.69;DROGAL;Concha Protetora Para Seios Avent 6 Unidades;https://www.drogal.com.br/concha-protetora-para-seios-avent-6-unidades/p
7896016804915;26.59;DROGAL;Luftal 75mg/ml Gotas Sabor Cereja 15ml;https://www.drogal.com.br/luftal-75mgml-gotas-sabor-cereja-15ml/p
4005900429643;17.29;DROGAL;"Desodorante Antitranspirante Aerosol Nivea Invisible Black &amp; White Fresh 150ml";https://www.drogal.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-black-white-fresh-150ml/p
7896331708790;22.59;DROGAL;Sanasar 250mg/ml Loção Erva-Doce 100ml;https://www.drogal.com.br/sanasar-emulsao-100ml/p
7891033535040;39.59;DROGAL;Shampoo Eudora Siàge Liso Intenso 250ml;https://www.drogal.com.br/shampoo-eudora-siage-liso-intenso-250ml/p
7891317177683;84.29;DROGAL;Primera 30 0,150mg + 0,030mg 63 Comprimidos;https://www.drogal.com.br/primera-30-0150mg-0030mg-63-comprimidos/p
7896523208763;3.09;DROGAL;Fluconazol 150mg Cimed 1 Cápsula Dura;https://www.drogal.com.br/fluconazol-150mg-cimed-1-capsulas-duras/p
65828;17.08;DROGAL;Hidratante Corporal Carol Girl 130g;https://www.drogal.com.br/hidratante-corporal-carol-girl-130g/p
76536;17.0;DROGAL;Refil Sabonete Líquido Perolado para as Mãos Bamboo 250ml;https://www.drogal.com.br/refil-sabonete-liquido-perolado-para-as-maos-bamboo-250ml/p
7891150050242;27.9;DROGAL;Sorvete Kibon Cremosíssimo Flocos 1,5L;https://www.drogal.com.br/sorvete-kibon-cremosissimo-flocos-15l/p
7899706185769;53.49;DROGAL;"Protetor Hidratante Facial Garnier Uniform &amp; Matte FPS50 Média 40g";https://www.drogal.com.br/protetor-hidratante-facial-garnier-uniform-matte-fps50-media-40g/p
7896714201498;9.39;DROGAL;Maleato de Dexclorfeniramina 2mg Neo Química 20 Comprimidos;https://www.drogal.com.br/maleato-de-dexclorfeniramina-2mg-neo-quimica-20-comprimidos/p
7898158690395;20.19;DROGAL;Pediderm 0,2mg/ml Loção 100ml;https://www.drogal.com.br/pediderm-02mgml-locao-100ml/p
7896255700283;53.69;DROGAL;Synthroid 112mcg 30 Comprimidos;https://www.drogal.com.br/synthroid-112mcg-30-comprimidos/p
7894916512015;119.69;DROGAL;Cymbi 30mg 60 Cápsulas Duras de Liberação Retardada;https://www.drogal.com.br/cymbi-30mg-60-caps-c1/p
7891317018122;91.09;DROGAL;Suplemento Alimentar AltaD 500 UI/Gota Solução Gotas 10ml;https://www.drogal.com.br/suplemento-alimentar-altad-500-uigota-solucao-gotas-10ml/p
7908079514073;55.99;DROGAL;Protetor Solar Facial Sveda Stick Multifuncional FPS75 Escuro 14g;https://www.drogal.com.br/protetor-solar-facial-sveda-stick-multifuncional-fps75-escuro-14g/p
7898074617612;62.59;DROGAL;Fluimucil 600mg Sabor Limão 16 Comprimidos Efervescentes;https://www.drogal.com.br/fluimucil-600mg-sabor-limao-16-comprimidos-efervescentes/p
7898040329129;28.79;DROGAL;Creme Facial Antirrugas Imecap Face Dia FPS30 35g;https://www.drogal.com.br/creme-facial-antirrugas-imecap-face-dia-fps30-35g/p
7896015590932;29.89;DROGAL;Suplemento de Vitaminas A e D Emulsão Scott Sabor Laranja 200ml;https://www.drogal.com.br/suplemento-de-vitaminas-a-e-d-emulsao-scott-sabor-laranja-200ml/p
7896007553303;8.39;DROGAL;Absorvente Poise Discreto para Escape de Urina Leve a Moderado 8 Unidades;https://www.drogal.com.br/absorvente-poise-discreto-para-escape-de-urina-leve-a-moderado-8-unidades/p
7892840267940;7.29;DROGAL;Snack EQlibri Panetini Sabor Queijo Suave 40g;https://www.drogal.com.br/snack-eqlibri-panetini-sabor-queijo-suave-40g/p
4005900669278;19.79;DROGAL;"Loção Hidratante Nivea Óleos Essenciais Flor de Laranjeira &amp; Óleo de Abacate 200ml";https://www.drogal.com.br/locao-hidratante-nivea-oleos-essenciais-flor-de-laranjeira--oleo-de-abacate-200ml/p
7898567750055;14.29;DROGAL;Folha Depilatória Facial Depi Roll Spa Care 16 Folhas;https://www.drogal.com.br/folhas-prontas-depilatoria-facial-depi-roll-spa-care-16-lencos/p
7896006225010;35.59;DROGAL;Cylocort 3 + 1mg pomada oftálmica bisnaga com 35g;https://www.drogal.com.br/cylocort-pda-oft-35g/p
7908236800322;84.89;DROGAL;Norvasc 5mg 30 Comprimidos;https://www.drogal.com.br/norvasc5mgcaixacom30comprimidos/p
7893454714868;75.99;DROGAL;Tylex 500mg+30mg 24 Comprimidos;https://www.drogal.com.br/tylex-500mg30mg-24-comprimidos/p
9786526104385;19.99;DROGAL;Livro Hot Wheels Mega Kit Para Ler, Colorir e Brincar 1 Unidade;https://www.drogal.com.br/livro-hot-wheels-mega-kit-para-ler-colorir-e-brincar-1-unidade/p
7896112408567;80.49;DROGAL;Novo B 150mg 30 Comprimidos Revestidos;https://www.drogal.com.br/novob-150mg-30-comprimidos-revestidos/p
7622300989316;8.45;DROGAL;Chocolate Lacta Bis Oreo 100,8g;https://www.drogal.com.br/chocolate-lacta-bis-oreo-1008g/p
75076696;31.29;DROGAL;Desodorante Dove Men+Care Stick Comfort Protection 72h Tecnologia Hidratante 45g;https://www.drogal.com.br/desodorante-dove-mencare-stick-comfort-protection-72h-tecnologia-hidratante-45g/p
7791293032481;12.99;DROGAL;Desodorante Antitranspirante Aerosol Rexona Invisible 72h 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-rexona-invisible-72h-150ml/p
7896094202047;78.99;DROGAL;Cebralat 100mg caixa com 60 comprimidos;https://www.drogal.com.br/cebralat-100mg-60-cpr/p
7500435127257;8.25;DROGAL;Absorvente Always Suave Com Abas Tamanho P 16 Unidades;https://www.drogal.com.br/absorvente-always-suave-com-abas-tamanho-p-16-unidades/p
7896658019005;105.95;DROGAL;Esalerg 5mg 30 Comprimidos Revestidos;https://www.drogal.com.br/esalerg-5mg-30-comprimidos-revestidos/p
3282770143935;85.19;DROGAL;Shampoo Anticaspa Darrow Doctar Plus 120ml;https://www.drogal.com.br/shampoo-anticaspa-darrow-doctar-plus-120ml/p
7891317004606;43.89;DROGAL;Hemitartarato De Zolpidem 5mg Eurofarma 30 Comprimidos;https://www.drogal.com.br/hemitartarato-de-zolpidem-5mg-eurofarma-30-comprimidos/p
7908079514493;17.99;DROGAL;Enxaguante Bucal Oral Nexter Menta Extra Forte 1L;https://www.drogal.com.br/enxaguante-bucal-oral-nexter-menta-extra-forte-1l/p
7898495605908;23.39;DROGAL;Loção Spray Queimalive Sun 50ml;https://www.drogal.com.br/locao-spray-queimalive-sun-50ml/p
7896342452187;70.49;DROGAL;Órtese de Punho Mercur com Tala Bilateral Tamanho M 1 Unidade;https://www.drogal.com.br/ortese-de-punho-mercur-com-tala-bilateral-tamanho-m-1-unidade/p
9786555527308;9.99;DROGAL;Livro Pais e Filhos: sem diálogo, as famílias morrem - Augusto Cury;https://www.drogal.com.br/livro-pais-e-filhos-sem-dialogo-as-familias-morrem---augusto-cury/p
7896637032575;88.99;DROGAL;Suplemento Alimentar Mag-B 30 Comprimidos Revestidos;https://www.drogal.com.br/suplemento-alimentar-mag-b-30-comprimidos-revestidos/p
7899547510928;131.69;DROGAL;Cabergolina 0,5mg 8 comprmidos (G) - Prati Donaduzzi;https://www.drogal.com.br/cabergolina05mg8comprmidosgpratidonaduzzi/p
7898593053014;125.79;DROGAL;DermUp Supreme Verisol Sabor Limão Siciliano 30 Sachês 5g Cada;https://www.drogal.com.br/dermup-supreme-verisol-sabor-limao-siciliano-30-saches-5g-cada/p
7891024032732;20.5;DROGAL;Creme Dental Colgate Máxima Proteção Anticáries mais Neutraçúcar 3 Unidades 70g Cada;https://www.drogal.com.br/creme-dental-colgate-maxima-protecao-anticaries-neutracucar-menta-3-unidades-70g/p
7908079503879;28.99;DROGAL;Mel Assiflora 340g;https://www.drogal.com.br/mel-assiflora-340g/p
7908079512444;39.99;DROGAL;Sérum Facial Zeta Skin Vitta C 30ml;https://www.drogal.com.br/serum-facial-zeta-skin-vitta-c-30ml/p
7500435196987;28.79;DROGAL;"Shampoo Pantene Pro-V Miracles Colágeno Hidrata &amp; Resgata 300ml";https://www.drogal.com.br/shampoo-pantene-colageno-300ml/p
7891350037807;8.99;DROGAL;Desodorante Antitranspirante Aerossol Masculino Bozzano Power Protection 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerossol-masculino-bozzano-power-protection-150ml/p
7896714290874;59.69;DROGAL;Cloridrato de Tramadol 37,5mg + Paracetamol 325mg Neo Química 30 Comprimidos Revestidos;https://www.drogal.com.br/cloridrato-de-tramadol-paracetamol-375mg-325mg-neo-quimica-30-comprimidos-revestidos/p
80052487;12.05;DROGAL;Bombom Raffaello 30g;https://www.drogal.com.br/bombom-raffaello-30g/p
7896004788968;11.79;DROGAL;Colírio Legrand Solução Oftálmica 20ml;https://www.drogal.com.br/colirio-legrand-solucao-oftalmica-20ml/p
7891010974312;16.59;DROGAL;Antisséptico Bucal Listerine Cool Mint Refrescância Suave 500ml;https://www.drogal.com.br/antisseptico-bucal-listerine-cool-mint-refrescancia-suave-500ml/p
7894164003679;31.09;DROGAL;Seneben 350mg 20 Cápsulas;https://www.drogal.com.br/seneben-350mg-20-capsulas/p
7891150059788;27.19;DROGAL;"Máscara de Tratamento Love Beauty And Planet Manteiga de Murumuru &amp; Rosa 190g";https://www.drogal.com.br/mascara-de-tratamento-love-beauty-and-planet-manteiga-de-murumuru-rosa-190g/p
7896026172370;52.09;DROGAL;Suplemento Alimentar Beserol Cart 40mg 30 Cápsulas Gelatinosas Moles;https://www.drogal.com.br/suplemento-alimentar-beserol-cart-40mg-30-capsulas-gel-moles/p
4005900669261;19.99;DROGAL;Loção Deo-Hidratante Nivea Óleos Essenciais Flor de Cerejeira 400ml;https://www.drogal.com.br/locao-hidratante-nivea-oleos-essenciais-flor-de-cerejeira--oleo-de-jojoba-400ml/p
7896004710433;19.69;DROGAL;Rifamicina Sódica 10mg/ml Germed Spray Tópico 20ml;https://www.drogal.com.br/rifamicina-sodica-10mgml-germed-spray-topico-20ml/p
7896004777184;62.59;DROGAL;Cloridrato de Tramadol 100mg EMS 10 Comprimidos Revestidos de Liberação Prolongada;https://www.drogal.com.br/cloridrato-de-tramadol-100mg-ems-10-comprimidos-revestidos-de-liberacao-prolongada/p
7897076922380;7.09;DROGAL;Glicazida 30mg Ranbaxy 30 Comprimidos;https://www.drogal.com.br/glicazida-30mg-ranbaxy-30-comprimidos/p
7894650005712;23.89;DROGAL;Loção Repelente Off Kids 200ml;https://www.drogal.com.br/locao-repelente-off-kids-200ml/p
7896978201340;3.29;DROGAL;Sabonete Antibacteriano Biofleur Biobac Limpeza Profunda 180g;https://www.drogal.com.br/sabonete-antibacteriano-biofleur-biobac-limpeza-profunda-180g/p
7899824400386;104.69;DROGAL;Suplemento Alimentar Flenus 22,25mg 30 Comprimidos Revestidos;https://www.drogal.com.br/flenus-30-cpr-rev/p
8429420243385;189.25;DROGAL;Sérum Facial Anti-Idade Isdinceutics Salicylic Renewal 30ml;https://www.drogal.com.br/serum-facial-anti-idade-isdinceutics-salicylic-renewal-30ml/p
